1628,-119.822671,34.510644,19628,-119.800789,34.514651,2864.37485167,2142,17.15636,3.15218,8.35983,6.99051,2.73910,2.11987,2.11417,2.01240,2.04294,2.02902,2.29935,2.04734,2.05315,2.16324,2.00299,2.00500,2.02825,2.51694,2.16101,2.43335,2.46789,2.04356,2.08346,2.00000,2.03804,2.01003
16805,-120.071957,34.514143,34805,-120.075144,34.522459,1963.92921026,2142,134.00697,12.03513,57.39205,45.46574,8.43735,3.04404,2.99438,2.10797,2.37399,2.25275,4.60723,2.41232,2.46294,3.42173,2.02601,2.04351,2.24606,6.50242,3.40237,5.77433,6.07520,2.37942,2.72687,2.00000,2.33133,2.08732
6006,-120.279537,34.737812,24006,-120.274693,34.716462,3101.90116813,2538,152.58573,13.44749,65.18797,51.58314,9.34335,3.19098,3.13433,2.12316,2.42663,2.28832,4.97418,2.47035,2.52809,3.62182,2.02967,2.04963,2.28069,7.13610,3.59975,6.30553,6.64874,2.43282,2.82917,2.00000,2.37796,2.09960
3422,-120.471253,34.639073,21422,-120.473079,34.639089,167.430217521,3461,2334.61212,179.32454,980.79810,770.05568,115.75037,20.44854,19.57102,3.90785,8.60863,6.46617,48.07079,9.28586,10.18028,27.12244,2.45958,2.76877,6.34793,81.55950,26.78048,68.69375,74.01023,8.70445,14.84408,2.00000,7.85470,3.54291
5390,-120.418668,34.883121,23390,-120.418707,34.88094,241.982952371,3235,8834.24440,673.42481,3708.13870,2910.17980,432.70646,71.85388,68.53122,9.22391,27.02303,18.91080,176.44328,29.58732,32.97398,97.12405,3.74017,4.91088,18.46306,303.24552,95.82924,254.53042,274.66084,27.38585,50.63305,2.00000,24.16833,7.84209
15760,-119.822306,34.437625,33760,-119.822297,34.438419,88.0825599082,2142,4.44457,2.18584,3.02578,2.80492,2.11921,2.01933,2.01841,2.00200,2.00693,2.00468,2.04828,2.00764,2.00857,2.02633,2.00048,2.00081,2.00456,2.08338,2.02597,2.06989,2.07547,2.00703,2.01346,2.00000,2.00614,2.00162
16208,-119.671596,34.423768,34208,-119.6706,34.423009,124.384455508,2142,5.91132,2.29734,3.64125,3.28787,2.19074,2.03093,2.02946,2.00320,2.01108,2.00749,2.07725,2.01222,2.01372,2.04213,2.00077,2.00129,2.00729,2.13341,2.04155,2.11183,2.12075,2.01124,2.02154,2.00000,2.00982,2.00259
16778,-120.03441,34.529899,34778,-120.006467,34.52779,3630.83654596,2142,5.91132,2.29734,3.64125,3.28787,2.19074,2.03093,2.02946,2.00320,2.01108,2.00749,2.07725,2.01222,2.01372,2.04213,2.00077,2.00129,2.00729,2.13341,2.04155,2.11183,2.12075,2.01124,2.02154,2.00000,2.00982,2.00259
743,-120.229,34.479239,18743,-120.22833,34.477765,173.674940118,3250,6532.92282,498.47897,2742.47056,2152.42911,320.48197,53.65282,51.19591,7.34166,20.50305,14.50453,130.99050,22.39919,24.90343,72.33862,3.28675,4.15243,14.17346,224.75326,71.38118,188.73132,203.61658,20.77134,37.96127,2.00000,18.39217,6.31988
5099,-120.490213,34.915874,23099,-120.490142,34.920815,548.188388727,3230,282.14813,23.29678,119.55425,94.24395,15.66149,4.21568,4.11029,2.22913,2.79370,2.53639,7.53313,2.87504,2.98246,5.01722,2.05520,2.09233,2.52219,11.55514,4.97615,10.00996,10.64847,2.80521,3.54258,2.00000,2.70315,2.18530
