FYEAR,CO,AB,DIS,FACID,DEV,PROID,SCC,SIC,EIC,POL,EMS
2012,1,SF,BA,0,0,74276412100000,74276412100000,74276412100000,74276412100000,42101,124.8336406959647622
2012,1,SF,BA,0,0,74276412100000,74276412100000,74276412100000,74276412100000,7664417,0.359895544
2012,1,SF,BA,0,0,74276512100000,74276512100000,74276512100000,74276512100000,42101,2.98424714244798228
2012,1,SF,BA,0,0,74376412100000,74376412100000,74376412100000,74376412100000,42101,37.55339005499684817
2012,1,SF,BA,0,0,74376412100000,74376412100000,74376412100000,74376412100000,7664417,0.118692125
2012,1,SF,BA,0,0,74376512100000,74376512100000,74376512100000,74376512100000,42101,0.927663850376557197
2012,1,SF,BA,0,0,74476412107000,74476412107000,74476412107000,74476412107000,42101,3.78928142801590824
2012,1,SF,BA,0,0,74476412107000,74476412107000,74476412107000,74476412107000,7664417,0.032621578
2012,1,SF,BA,0,0,74476412107001,74476412107001,74476412107001,74476412107001,42101,0.4567545218642913312
2012,1,SF,BA,0,0,74476412107001,74476412107001,74476412107001,74476412107001,7664417,0.008701739
2012,1,SF,BA,0,0,74476412107004,74476412107004,74476412107004,74476412107004,42101,1.27708901779367688
2012,1,SF,BA,0,0,74476412107004,74476412107004,74476412107004,74476412107004,7664417,0.02671219
2012,1,SF,BA,0,0,74476412107005,74476412107005,74476412107005,74476412107005,42101,32.97188391452222592
2012,1,SF,BA,0,0,74476412107005,74476412107005,74476412107005,74476412107005,7664417,0.453411826
2012,1,SF,BA,0,0,74476412107006,74476412107006,74476412107006,74476412107006,42101,38.52791733960670488
2012,1,SF,BA,0,0,74476412107006,74476412107006,74476412107006,74476412107006,7664417,0.763931847
2012,1,SF,BA,0,0,74476412107007,74476412107007,74476412107007,74476412107007,42101,90.55603417209000912
2012,1,SF,BA,0,0,74476412107007,74476412107007,74476412107007,74476412107007,7664417,1.358974994
2012,1,SF,BA,0,0,74476412107008,74476412107008,74476412107008,74476412107008,42101,190.0606113455719176
2012,1,SF,BA,0,0,74476412107008,74476412107008,74476412107008,74476412107008,7664417,3.569280112
2012,1,SF,BA,0,0,74476412107009,74476412107009,74476412107009,74476412107009,42101,0.233814694787960676
2012,1,SF,BA,0,0,74476412107009,74476412107009,74476412107009,74476412107009,7664417,0.004985769
