FYEAR,CO,AB,DIS,FACID,DEV,PROID,SCC,SIC,EIC,POL,EMS
2017,6,SV,COL,0,0,71073411000000,71073411000000,71073411000000,71073411000000,7664417,9.612101095
2017,6,SV,COL,0,0,71076412100000,71076412100000,71076412100000,71076412100000,7664417,0.012300506
2017,6,SV,COL,0,0,72270611000000,72270611000000,72270611000000,72270611000000,7664417,0.000826321
2017,6,SV,COL,0,0,72273411000000,72273411000000,72273411000000,72273411000000,7664417,1.037942314
2017,6,SV,COL,0,0,72276412100000,72276412100000,72276412100000,72276412100000,7664417,0.000165969
2017,6,SV,COL,0,0,72370611000000,72370611000000,72370611000000,72370611000000,7664417,0.000642546
2017,6,SV,COL,0,0,72373411000000,72373411000000,72373411000000,72373411000000,7664417,4.954097301
2017,6,SV,COL,0,0,72376412100000,72376412100000,72376412100000,72376412100000,7664417,0.000621155
2017,6,SV,COL,0,0,72470611000000,72470611000000,72470611000000,72470611000000,7664417,0.000892837
2017,6,SV,COL,0,0,72473411000000,72473411000000,72473411000000,72473411000000,7664417,6.386422022
2017,6,SV,COL,0,0,72476412100000,72476412100000,72476412100000,72476412100000,7664417,0.004279836
2017,6,SV,COL,0,0,73270611000000,73270611000000,73270611000000,73270611000000,7664417,0.000072903
2017,6,SV,COL,0,0,73273411000000,73273411000000,73273411000000,73273411000000,7664417,1.129968195
2017,6,SV,COL,0,0,73370611000000,73370611000000,73370611000000,73370611000000,7664417,0.000002512
2017,6,SV,COL,0,0,73373411000000,73373411000000,73373411000000,73373411000000,7664417,0.138852911
2017,6,SV,COL,0,0,73470611000000,73470611000000,73470611000000,73470611000000,7664417,0.000171418
2017,6,SV,COL,0,0,73473411000000,73473411000000,73473411000000,73473411000000,7664417,0.069773234
2017,6,SV,COL,0,0,73670611000000,73670611000000,73670611000000,73670611000000,7664417,0.000040144
2017,6,SV,COL,0,0,73673411000000,73673411000000,73673411000000,73673411000000,7664417,0.007473782
2017,6,SV,COL,0,0,74276412100000,74276412100000,74276412100000,74276412100000,7664417,0.054736151
2017,6,SV,COL,0,0,74376412100000,74376412100000,74376412100000,74376412100000,7664417,0.014061696
2017,6,SV,COL,0,0,74476412107000,74476412107000,74476412107000,74476412107000,7664417,0.003904862
2017,6,SV,COL,0,0,74476412107001,74476412107001,74476412107001,74476412107001,7664417,0.00052375
2017,6,SV,COL,0,0,74476412107004,74476412107004,74476412107004,74476412107004,7664417,0.001607785
2017,6,SV,COL,0,0,74476412107005,74476412107005,74476412107005,74476412107005,7664417,0.017899837
2017,6,SV,COL,0,0,74476412107006,74476412107006,74476412107006,74476412107006,7664417,0.012212693
2017,6,SV,COL,0,0,74476412107007,74476412107007,74476412107007,74476412107007,7664417,0.032126362
2017,6,SV,COL,0,0,74476412107008,74476412107008,74476412107008,74476412107008,7664417,0.065395964
2017,6,SV,COL,0,0,74476412107009,74476412107009,74476412107009,74476412107009,7664417,0.000300089
2017,6,SV,COL,0,0,74476412107010,74476412107010,74476412107010,74476412107010,7664417,0.0009212
2017,6,SV,COL,0,0,74476412107011,74476412107011,74476412107011,74476412107011,7664417,0.003560145
2017,6,SV,COL,0,0,74476412107012,74476412107012,74476412107012,74476412107012,7664417,0.000592978
2017,6,SV,COL,0,0,74676412107013,74676412107013,74676412107013,74676412107013,7664417,0.011436717
2017,6,SV,COL,0,0,74676412107016,74676412107016,74676412107016,74676412107016,7664417,0.315460207
2017,6,SV,COL,0,0,74676412107017,74676412107017,74676412107017,74676412107017,7664417,0.012698008
2017,5,MC,CAL,0,0,71070611000000,71070611000000,71070611000000,71070611000000,7664417,0.001047489
2017,5,MC,CAL,0,0,71073411000000,71073411000000,71073411000000,71073411000000,7664417,5.346060839
2017,5,MC,CAL,0,0,71076412100000,71076412100000,71076412100000,71076412100000,7664417,0.007556324
2017,5,MC,CAL,0,0,72270611000000,72270611000000,72270611000000,72270611000000,7664417,0.001330462
2017,5,MC,CAL,0,0,72273411000000,72273411000000,72273411000000,72273411000000,7664417,0.913780429
2017,5,MC,CAL,0,0,72276412100000,72276412100000,72276412100000,72276412100000,7664417,0.000103926
2017,5,MC,CAL,0,0,72370611000000,72370611000000,72370611000000,72370611000000,7664417,0.000637722
2017,5,MC,CAL,0,0,72373411000000,72373411000000,72373411000000,72373411000000,7664417,3.015996655
2017,5,MC,CAL,0,0,72376412100000,72376412100000,72376412100000,72376412100000,7664417,0.000326157
2017,5,MC,CAL,0,0,72470611000000,72470611000000,72470611000000,72470611000000,7664417,0.000562023
2017,5,MC,CAL,0,0,72473411000000,72473411000000,72473411000000,72473411000000,7664417,3.548427764
2017,5,MC,CAL,0,0,72476412100000,72476412100000,72476412100000,72476412100000,7664417,0.002477845
2017,5,MC,CAL,0,0,73270611000000,73270611000000,73270611000000,73270611000000,7664417,0.000086908
2017,5,MC,CAL,0,0,73273411000000,73273411000000,73273411000000,73273411000000,7664417,1.188214922
2017,5,MC,CAL,0,0,73370611000000,73370611000000,73370611000000,73370611000000,7664417,0.000014015
2017,5,MC,CAL,0,0,73373411000000,73373411000000,73373411000000,73373411000000,7664417,0.083627886
2017,5,MC,CAL,0,0,73470611000000,73470611000000,73470611000000,73470611000000,7664417,0.000003126
2017,5,MC,CAL,0,0,73473411000000,73473411000000,73473411000000,73473411000000,7664417,0.027870349
2017,2,GBV,GBU,0,0,71070611000000,71070611000000,71070611000000,71070611000000,7664417,0.000136001
2017,2,GBV,GBU,0,0,71073411000000,71073411000000,71073411000000,71073411000000,7664417,0.87443627
2017,2,GBV,GBU,0,0,71076412100000,71076412100000,71076412100000,71076412100000,7664417,0.0012464
2017,2,GBV,GBU,0,0,72270611000000,72270611000000,72270611000000,72270611000000,7664417,0.000097136
2017,2,GBV,GBU,0,0,72273411000000,72273411000000,72273411000000,72273411000000,7664417,0.102528208
2017,2,GBV,GBU,0,0,72276412100000,72276412100000,72276412100000,72276412100000,7664417,0.000014567
2017,2,GBV,GBU,0,0,72370611000000,72370611000000,72370611000000,72370611000000,7664417,0.00005692
2017,2,GBV,GBU,0,0,72373411000000,72373411000000,72373411000000,72373411000000,7664417,0.491560243
2017,2,GBV,GBU,0,0,72376412100000,72376412100000,72376412100000,72376412100000,7664417,0.00006464
2017,2,GBV,GBU,0,0,72470611000000,72470611000000,72470611000000,72470611000000,7664417,0.000118725
2017,2,GBV,GBU,0,0,72473411000000,72473411000000,72473411000000,72473411000000,7664417,0.47588666
2017,2,GBV,GBU,0,0,72476412100000,72476412100000,72476412100000,72476412100000,7664417,0.000424734
2017,2,GBV,GBU,0,0,73270611000000,73270611000000,73270611000000,73270611000000,7664417,0.000006573
2017,2,GBV,GBU,0,0,73273411000000,73273411000000,73273411000000,73273411000000,7664417,0.137849871
2017,2,GBV,GBU,0,0,73370611000000,73370611000000,73370611000000,73370611000000,7664417,0.000000302
2017,2,GBV,GBU,0,0,73373411000000,73373411000000,73373411000000,73373411000000,7664417,0.0190508
2017,2,GBV,GBU,0,0,73470611000000,73470611000000,73470611000000,73470611000000,7664417,0.000002203
2017,2,GBV,GBU,0,0,73473411000000,73473411000000,73473411000000,73473411000000,7664417,0.00698467
2017,2,GBV,GBU,0,0,73670611000000,73670611000000,73670611000000,73670611000000,7664417,0.000000674
2017,2,GBV,GBU,0,0,73673411000000,73673411000000,73673411000000,73673411000000,7664417,0.000700339
2017,2,GBV,GBU,0,0,74276412100000,74276412100000,74276412100000,74276412100000,7664417,0.003675694
2017,2,GBV,GBU,0,0,74376412100000,74376412100000,74376412100000,74376412100000,7664417,0.001439556
2017,2,GBV,GBU,0,0,74476412107000,74476412107000,74476412107000,74476412107000,7664417,0.000245939
2017,2,GBV,GBU,0,0,74476412107001,74476412107001,74476412107001,74476412107001,7664417,0.000111188
2017,2,GBV,GBU,0,0,74476412107004,74476412107004,74476412107004,74476412107004,7664417,0.000341321
2017,2,GBV,GBU,0,0,74476412107005,74476412107005,74476412107005,74476412107005,7664417,0.000229178
2017,5,MC,CAL,0,0,73670611000000,73670611000000,73670611000000,73670611000000,7664417,0.000003023
2017,5,MC,CAL,0,0,73673411000000,73673411000000,73673411000000,73673411000000,7664417,0.006122546
2017,5,MC,CAL,0,0,74276412100000,74276412100000,74276412100000,74276412100000,7664417,0.055640815
2017,5,MC,CAL,0,0,74376412100000,74376412100000,74376412100000,74376412100000,7664417,0.012286283
2017,5,MC,CAL,0,0,74476412107000,74476412107000,74476412107000,74476412107000,7664417,0.004644629
2017,5,MC,CAL,0,0,74476412107001,74476412107001,74476412107001,74476412107001,7664417,0.001071013
2017,5,MC,CAL,0,0,74476412107004,74476412107004,74476412107004,74476412107004,7664417,0.003287746
2017,5,MC,CAL,0,0,74476412107005,74476412107005,74476412107005,74476412107005,7664417,0.002077081
2017,5,MC,CAL,0,0,74476412107006,74476412107006,74476412107006,74476412107006,7664417,0.017220306
2017,5,MC,CAL,0,0,74476412107007,74476412107007,74476412107007,74476412107007,7664417,0.04278296
2017,5,MC,CAL,0,0,74476412107008,74476412107008,74476412107008,74476412107008,7664417,0.095523335
2017,5,MC,CAL,0,0,74476412107009,74476412107009,74476412107009,74476412107009,7664417,0.00061365
2017,5,MC,CAL,0,0,74476412107010,74476412107010,74476412107010,74476412107010,7664417,0.001883755
