       674     37684   -266311     18674     39419   -268514      5139      2142   33.28118    3.51312   14.58279   11.67209    2.65611    1.32289    1.31061    1.06245    1.15725    1.12566    1.70029    1.16461    1.17696    1.41096    1.07032    1.07459    1.12403    2.17780    1.41147    1.99781    1.73189    1.15859    1.24137    1.06398    1.14484    1.08529
       753     24567   -273008     18753     24631   -273137       146      3247  407.56377   31.96598  171.63723  134.91155   21.14317    4.32120    4.16631    1.27411    2.23131    1.84229    9.09264    2.33367    2.48954    5.44201    1.14407    1.19795    1.82168   15.10805    5.43887   12.83709    9.72067    2.24822    3.30229    1.06398    2.08426    1.33286
       774     25949   -275158     18774     26180   -275157       230      3247  410.44143   32.18474  172.84473  135.85907   21.28531    4.34425    4.18826    1.27573    2.23956    1.84780    9.14948    2.34266    2.49963    5.47301    1.14463    1.19890    1.82704   15.20747    5.46983   12.92043    9.78209    2.25660    3.31813    1.06398    2.09149    1.33476
       863     31590   -263906     18863     31584   -263892        15      3230    2.34641    1.16147    1.60210    1.48624    1.12814    1.07507    1.07458    1.04496    1.06848    1.06643    1.08931    1.06798    1.06847    1.07779    1.06423    1.06440    1.06637    1.10910    1.07860    1.10194    1.07161    1.06853    1.07104    1.06398    1.06719    1.06482
      1006     48708   -264145     19006     48167   -264177       553      3266  361.20853   28.44207  152.18589  119.64823   18.85354    3.94986    3.81263    1.24789    2.09828    1.75353    8.17709    2.18888    2.32697    4.94276    1.13493    1.18267    1.73528   13.50663    4.94007   11.49463    8.73125    2.11327    3.04704    1.06398    1.96791    1.30219
      1082     54059   -279451     19082     54063   -279310       141      2142   31.90491    3.40850   14.00528   11.21892    2.58814    1.31186    1.30011    1.06167    1.15330    1.12303    1.67311    1.16031    1.17213    1.39614    1.07005    1.07414    1.12146    2.13025    1.39666    1.95796    1.70251    1.15459    1.23380    1.06398    1.14138    1.08438
      1089     56848   -280547     19089     56849   -280345       201      2742  691.60691   53.55886  290.82587  228.43801   35.17301    6.59662    6.33349    1.43473    3.04641    2.38613   14.70270    3.22087    3.48566    8.50118    1.20003    1.29156    2.35113   24.92083    8.49526   21.06302   15.78336    3.07514    4.86632    1.06398    2.79719    1.52074
      1215     60204   -278687     19215     60209   -278736        49      3682  801.77098   61.93350  337.05233  264.71157   40.61438    7.47913    7.17402    1.49703    3.36254    2.59706   16.87852    3.56497    3.87199    9.68766    1.22173    1.32787    2.55647   28.72664    9.68066   24.25338   18.13473    3.39585    5.47291    1.06398    3.07370    1.59360
      1219     58825   -280878     19219     58688   -280809       154      2499   40.06869    4.02910   17.43092   13.90700    2.99137    1.37726    1.36240    1.06629    1.17673    1.13866    1.83435    1.18581    1.20076    1.48406    1.07166    1.07683    1.13668    2.41229    1.48450    2.19438    1.87676    1.17835    1.27875    1.06398    1.16188    1.08978
      3191      4026   -256048     21191      4139   -256049       113      2142    1.47060    1.09489    1.23460    1.19786    1.08488    1.06806    1.06790    1.04446    1.06597    1.06475    1.07201    1.06525    1.06540    1.06836    1.06406    1.06411    1.06473    1.07885    1.06918    1.07658    1.05291    1.06598    1.06622    1.06398    1.06500    1.06425
