REGION,Day,DOW,LD,LM,HH,SBUS
24,2,mon,0.993116,0.942437,0.798241,1
24,3,tuth,1,1,1,1
24,6,fri,1.093807,1.070296,0.881753,1
24,7,sat,0.962331,0.766218,0.657626,0
24,8,holi,0.968238,0.743852,0.608203,0
25,1,sun,1.13319,0.801476,0.638054,0
25,2,mon,1.158893,0.960898,0.634157,1
25,3,tuth,1,1,1,1
25,6,fri,1.202117,1.108837,0.766633,1
25,7,sat,1.041047,0.819299,0.745329,0
25,8,holi,1.087238,0.992346,0.703701,0
26,1,sun,1.13319,0.801476,0.638054,0
26,2,mon,1.158893,0.960898,0.634157,1
26,3,tuth,1,1,1,1
26,6,fri,1.202117,1.108837,0.766633,1
26,7,sat,1.041047,0.819299,0.745329,0
26,8,holi,1.087238,0.992346,0.703701,0
27,1,sun,0.650927,0.441875,0.410358,0
27,2,mon,0.964202,0.959953,0.870645,1
27,3,tuth,1,1,1,1
27,6,fri,1.008339,1.015146,0.96194,1
27,7,sat,0.770501,0.603844,0.503358,0
27,8,holi,0.730302,0.656717,0.606014,0
28,1,sun,0.773704,0.489926,0.431144,0
28,2,mon,0.96292,0.953968,0.913247,1
28,3,tuth,1,1,1,1
28,6,fri,1.064901,1.038545,0.97319,1
28,7,sat,0.883842,0.622271,0.501739,0
28,8,holi,0.808875,0.831557,0.852498,0
29,1,sun,0.773704,0.489926,0.431144,0
29,2,mon,0.96292,0.953968,0.913247,1
29,3,tuth,1,1,1,1
29,6,fri,1.064901,1.038545,0.97319,1
29,7,sat,0.883842,0.622271,0.501739,0
29,8,holi,0.808875,0.831557,0.852498,0
30,1,sun,0.971756,0.667865,0.602143,0
30,2,mon,0.988014,0.977286,0.942518,1
30,3,tuth,1,1,1,1
30,6,fri,1.177729,1.100838,0.962929,1
30,7,sat,1.037113,0.786044,0.575321,0
30,8,holi,0.97057,0.93275,0.92117,0
31,1,sun,0.773704,0.489926,0.431144,0
31,2,mon,0.96292,0.953968,0.913247,1
31,3,tuth,1,1,1,1
31,6,fri,1.064901,1.038545,0.97319,1
31,7,sat,0.883842,0.622271,0.501739,0
31,8,holi,0.808875,0.831557,0.852498,0
32,1,sun,1.076355,0.822615,0.626943,0
32,2,mon,0.939053,1.006929,0.660128,1
32,3,tuth,1,1,1,1
32,6,fri,1.077667,1.155505,0.773625,1
32,7,sat,1.117223,0.863252,0.718551,0
32,8,holi,0.902383,0.83651,0.601647,0
33,1,sun,1.007962,0.589339,0.359546,0
33,2,mon,0.979063,0.948271,0.887058,1
33,3,tuth,1,1,1,1
33,6,fri,1.129948,1.032779,0.968773,1
33,7,sat,1.090781,0.719439,0.41631,0
33,8,holi,0.908697,0.895814,0.844311,0
34,1,sun,0.773704,0.489926,0.431144,0
34,2,mon,0.96292,0.953968,0.913247,1
34,3,tuth,1,1,1,1
34,6,fri,1.064901,1.038545,0.97319,1
34,7,sat,0.883842,0.622271,0.501739,0
34,8,holi,0.808875,0.831557,0.852498,0
35,1,sun,1.13319,0.801476,0.638054,0
35,2,mon,1.158893,0.960898,0.634157,1
35,3,tuth,1,1,1,1
35,6,fri,1.202117,1.108837,0.766633,1
35,7,sat,1.041047,0.819299,0.745329,0
35,8,holi,1.087238,0.992346,0.703701,0
36,1,sun,0.90182,0.562894,0.357142,0
36,2,mon,0.971559,0.953884,0.931598,1
36,3,tuth,1,1,1,1
36,6,fri,1.098562,1.045345,0.972507,1
36,7,sat,0.992376,0.669136,0.425672,0
36,8,holi,0.894875,0.883252,0.86094,0
37,1,sun,0.773704,0.489926,0.431144,0
37,2,mon,0.96292,0.953968,0.913247,1
37,3,tuth,1,1,1,1
