REGION,Day,DOW,LD,LM,HH,SBUS
21,6,fri,1.030552,1.004259,0.932415,1.0
21,7,sat,0.923594,0.618866,0.376133,0.0
21,8,holi,0.769507,0.618683,0.526726,0.0
22,1,sun,0.778705,0.519234,0.44424775,0.0
22,2,mon,0.942861,0.926444,0.94214416,1.0
22,3,tuth,1.0,1.0,1.0,1.0
22,6,fri,1.047408,1.022462,0.9404443,1.0
22,7,sat,0.924107,0.665289,0.5745369,0.0
22,8,holi,0.78811,0.826536,0.54039115,0.0
23,1,sun,1.13319,0.801476,0.638054,0.0
23,2,mon,1.158893,0.960898,0.634157,1.0
23,3,tuth,1.0,1.0,1.0,1.0
23,6,fri,1.202117,1.108837,0.766633,1.0
23,7,sat,1.041047,0.819299,0.745329,0.0
23,8,holi,1.087238,0.992346,0.703701,0.0
24,1,sun,0.941054,0.702585,0.5866,0.0
24,2,mon,0.993116,0.942437,0.798241,1.0
24,3,tuth,1.0,1.0,1.0,1.0
24,6,fri,1.093807,1.070296,0.881753,1.0
24,7,sat,0.962331,0.766218,0.657626,0.0
24,8,holi,0.968238,0.743852,0.608203,0.0
25,1,sun,1.13319,0.801476,0.638054,0.0
25,2,mon,1.158893,0.960898,0.634157,1.0
25,3,tuth,1.0,1.0,1.0,1.0
25,6,fri,1.202117,1.108837,0.766633,1.0
25,7,sat,1.041047,0.819299,0.745329,0.0
25,8,holi,1.087238,0.992346,0.703701,0.0
26,1,sun,1.13319,0.801476,0.638054,0.0
26,2,mon,1.158893,0.960898,0.634157,1.0
26,3,tuth,1.0,1.0,1.0,1.0
26,6,fri,1.202117,1.108837,0.766633,1.0
26,7,sat,1.041047,0.819299,0.745329,0.0
26,8,holi,1.087238,0.992346,0.703701,0.0
27,1,sun,0.650927,0.441875,0.63090366,0.0
27,2,mon,0.964202,0.959953,0.98218125,1.0
27,3,tuth,1.0,1.0,1.0,1.0
27,6,fri,1.008339,1.015146,1.0226122,1.0
27,7,sat,0.770501,0.603844,0.76392066,0.0
27,8,holi,0.730854,0.6564,0.7038684,0.0
28,1,sun,0.650927,0.441875,0.63090366,0.0
28,2,mon,0.964202,0.959953,0.98218125,1.0
28,3,tuth,1.0,1.0,1.0,1.0
28,6,fri,1.008339,1.015146,1.0226122,1.0
28,7,sat,0.770501,0.603844,0.76392066,0.0
28,8,holi,0.730854,0.6564,0.7038684,0.0
29,1,sun,0.650927,0.441875,0.63090366,0.0
29,2,mon,0.964202,0.959953,0.98218125,1.0
29,3,tuth,1.0,1.0,1.0,1.0
29,6,fri,1.008339,1.015146,1.0226122,1.0
29,7,sat,0.770501,0.603844,0.76392066,0.0
29,8,holi,0.730854,0.6564,0.7038684,0.0
30,1,sun,0.971756,0.667865,0.602143,0.0
30,2,mon,0.988014,0.977286,0.942518,1.0
30,3,tuth,1.0,1.0,1.0,1.0
30,6,fri,1.177729,1.100838,0.962929,1.0
30,7,sat,1.037113,0.786044,0.575321,0.0
30,8,holi,0.97057,0.93275,0.92117,0.0
31,1,sun,0.773704,0.489926,0.6338873,0.0
31,2,mon,0.96292,0.953968,0.95807546,1.0
31,3,tuth,1.0,1.0,1.0,1.0
31,6,fri,1.064901,1.038545,1.0301112,1.0
31,7,sat,0.883842,0.622271,0.7550443,0.0
31,8,holi,0.808875,0.831557,0.66380125,0.0
