CO,CO,CO,1,28,1
7,TOG,RCHO,2.0222E-04,1,0.0140739
7,TOG,ACRO,1.8452E-05,1,0.0010345
7,TOG,MACR,1.6216E-05,1,0.0011366
7,TOG,ACET,1.7196E-04,1,0.0099871
7,TOG,MEK,1.5940E-06,1,0.0001149
7,TOG,BENZ,4.6714E-04,1,0.0364890
7,TOG,TOLU,4.2078E-04,1,0.0387700
7,TOG,ARO1,5.3704E-05,1,0.0057015
7,TOG,OXYL,1.6971E-04,1,0.0180170
7,TOG,ARO2,3.3775E-04,1,0.0405950
7,TOG,B124,1.6318E-04,1,0.0196130
7,TOG,BALD,2.8883E-06,1,0.0003065
7,TOG,IPRD,4.0087E-06,1,0.0002810
7,TOG,MXYL,1.7185E-04,1,0.0182440
7,TOG,PXYL,1.7185E-04,1,0.0182440
9,TOG,CH4,7.2310E-03,1,0.1160000
9,TOG,ALK1,9.3119E-04,1,0.0280000
9,TOG,ETHE,1.0231E-02,1,0.2870000
9,TOG,PRPE,4.1112E-03,1,0.1730000
9,TOG,ACYE,4.3400E-03,1,0.1130000
9,TOG,OLE1,2.3883E-03,1,0.1340000
9,TOG,BDE13,1.2941E-03,1,0.0700000
9,TOG,BENZ,1.0114E-03,1,0.0790000
11,TOG,CH4,2.8238E-02,1,0.4530000
11,TOG,ALK1,2.6605E-03,1,0.0800000
11,TOG,ETHE,9.8742E-03,1,0.2770000
11,TOG,ALK2,1.1339E-04,1,0.0050000
11,TOG,PRPE,4.5152E-04,1,0.0190000
11,TOG,ACYE,4.6088E-04,1,0.0120000
11,TOG,OLE1,1.7823E-05,1,0.0010000
11,TOG,BDE13,9.2439E-05,1,0.0050000
11,TOG,BENZ,1.8051E-03,1,0.1410000
11,TOG,TOLU,7.5973E-05,1,0.0070000
12,TOG,CH4,9.8491E-03,1,0.1580000
12,TOG,NROG,8.4200E-01,1,0.8420000
13,TOG,CH4,4.5693E-02,1,0.7330000
13,TOG,ALK1,9.9771E-04,1,0.0300000
13,TOG,ETHE,2.1032E-03,1,0.0590000
13,TOG,PRPE,7.1293E-04,1,0.0300000
13,TOG,ACYE,5.6842E-03,1,0.1480000
16,TOG,CH4,6.9193E-03,1,0.1110000
16,TOG,ALK2,9.0484E-03,1,0.3990000
16,TOG,NROG,4.9000E-01,1,0.4900000
17,TOG,CH4,6.0290E-03,1,0.0967170
17,TOG,ETHE,5.1820E-03,1,0.1453700
17,TOG,PRPE,1.1025E-03,1,0.0463950
17,TOG,ACYE,1.1879E-04,1,0.0030930
17,TOG,OLE1,2.5358E-04,1,0.0170114
17,TOG,OLE2,2.4440E-03,1,0.1376395
17,TOG,ALK4,3.5892E-05,1,0.0030930
17,TOG,HCHO,2.8706E-03,1,0.0861940
17,TOG,CCHO,6.9015E-04,1,0.0304030
17,TOG,RCHO,2.3019E-04,1,0.0159852
17,TOG,ACRO,4.1931E-05,1,0.0023508
17,TOG,MACR,9.3909E-05,1,0.0065821
17,TOG,ACET,5.3961E-07,1,0.0000313
17,TOG,MEK,4.7816E-05,1,0.0034478
17,TOG,BENZ,3.2866E-03,1,0.2567200
17,TOG,TOLU,1.2420E-03,1,0.1144400
17,TOG,BALD,2.8058E-05,1,0.0029776
17,TOG,IPRD,8.9438E-06,1,0.0006269
17,TOG,MXYL,1.4567E-04,1,0.0154650
17,TOG,PXYL,1.4567E-04,1,0.0154650
18,TOG,CH4,6.0290E-03,1,0.0967170
18,TOG,ETHE,5.1820E-03,1,0.1453700
18,TOG,PRPE,1.1025E-03,1,0.0463950
18,TOG,ACYE,1.1879E-04,1,0.0030930
18,TOG,OLE1,2.5358E-04,1,0.0170114
18,TOG,OLE2,2.4440E-03,1,0.1376395
18,TOG,ALK4,3.5892E-05,1,0.0030930
18,TOG,HCHO,2.8706E-03,1,0.0861940
18,TOG,CCHO,6.9015E-04,1,0.0304030
18,TOG,RCHO,2.3019E-04,1,0.0159852
18,TOG,ACRO,4.1931E-05,1,0.0023508
18,TOG,MACR,9.3909E-05,1,0.0065821
18,TOG,ACET,5.3961E-07,1,0.0000313
18,TOG,MEK,4.7816E-05,1,0.0034478
18,TOG,BENZ,3.2866E-03,1,0.2567200
18,TOG,TOLU,1.2420E-03,1,0.1144400
18,TOG,BALD,2.8058E-05,1,0.0029776
18,TOG,IPRD,8.9438E-06,1,0.0006269
18,TOG,MXYL,1.4567E-04,1,0.0154650
18,TOG,PXYL,1.4567E-04,1,0.0154650
21,TOG,ALK4,2.1479E-03,1,0.2098572
21,TOG,ALK3,6.9030E-05,1,0.0064286
21,TOG,ALK5,6.6589E-03,1,0.7587144
21,TOG,HCHO,8.3261E-04,1,0.0250000
22,TOG,ALK4,5.8815E-03,1,0.5001220
22,TOG,ALK3,4.8209E-03,1,0.2917260
22,TOG,ALK5,4.7291E-04,1,0.0481540
22,TOG,ALK1,3.3257E-04,1,0.0100000
22,TOG,ETHE,7.1294E-04,1,0.0200000
22,TOG,ALK2,2.9481E-03,1,0.1300000
24,TOG,ALK4,2.6903E-03,1,0.2196664
24,TOG,ALK3,2.2630E-03,1,0.1379167
24,TOG,ALK5,1.0419E-03,1,0.1164168
24,TOG,OLE2,5.7034E-05,1,0.0040000
24,TOG,OLE1,1.7182E-03,1,0.1030000
24,TOG,CH4,1.3278E-02,1,0.2130000
24,TOG,ALK1,1.7959E-03,1,0.0540000
24,TOG,ETHE,1.0694E-04,1,0.0030000
24,TOG,ALK2,2.3131E-03,1,0.1020000
24,TOG,PRPE,4.7529E-04,1,0.0200000
24,TOG,BENZ,1.0242E-04,1,0.0080000
24,TOG,TOLU,2.0621E-04,1,0.0190000
29,TOG,ALK4,1.2571E-03,1,0.1083340
29,TOG,ALK3,2.5143E-04,1,0.0216670
29,TOG,CH4,2.2441E-02,1,0.3600000
29,TOG,HCHO,1.6985E-02,1,0.5100000
31,TOG,ALK4,5.9107E-03,1,0.4698359
31,TOG,ALK3,3.4705E-03,1,0.2083330
31,TOG,ALK5,1.8978E-03,1,0.1928352
31,TOG,CH4,1.8078E-03,1,0.0290000
31,TOG,ALK1,5.6537E-04,1,0.0170000
31,TOG,ALK2,1.3380E-03,1,0.0590000
31,TOG,BENZ,3.0725E-04,1,0.0240000
35,TOG,ALK4,1.3860E-02,1,1.0000000
51,TOG,CH4,1.2467E-02,1,0.2000000
51,TOG,ALK1,9.9771E-03,1,0.3000000
51,TOG,ALK2,6.8033E-03,1,0.3000000
51,TOG,HCHO,6.6609E-03,1,0.2000000
53,TOG,ALK4,3.8740E-04,1,0.0330419
53,TOG,ALK3,7.4730E-03,1,0.4352083
53,TOG,ALK5,5.9418E-04,1,0.0747500
53,TOG,CH4,5.6103E-04,1,0.0090000
53,TOG,ALK1,5.3876E-03,1,0.1620000
53,TOG,ALK2,6.0550E-03,1,0.2670000
53,TOG,OXYL,1.8839E-05,1,0.0020000
53,TOG,MXYL,1.8839E-05,1,0.0020000
53,TOG,PXYL,1.8839E-05,1,0.0020000
53,TOG,ARO1,1.8839E-05,1,0.0020000
53,TOG,BENZ,3.8406E-05,1,0.0030000
53,TOG,TOLU,8.6826E-05,1,0.0080000
66,TOG,ALK5,2.8270E-04,1,0.0300000
66,TOG,ACET,6.6633E-03,1,0.3870000
66,TOG,MEK,5.7693E-03,1,0.4160000
66,TOG,PRD2,1.6673E-03,1,0.1670000
72,TOG,ALK5,2.4125E-03,1,0.2791047
72,TOG,OLE2,1.1307E-04,1,0.0152588
72,TOG,OLE1,1.7096E-05,1,0.0024321
72,TOG,ALK4,6.6713E-03,1,0.4205083
72,TOG,MEOH,1.5601E-03,1,0.0499900
72,TOG,ETOH,5.4257E-04,1,0.0249950
72,TOG,ACET,9.4680E-04,1,0.0549890
72,TOG,MEK,6.9328E-04,1,0.0499900
72,TOG,PRD2,1.4540E-05,1,0.0020138
72,TOG,ARO1,3.9327E-04,1,0.0449465
72,TOG,ARO2,3.0989E-04,1,0.0410204
72,TOG,B124,1.5819E-05,1,0.0019013
72,TOG,TOLU,1.4106E-05,1,0.0012997
72,TOG,OXYL,3.7670E-05,1,0.0039992
72,TOG,MXYL,5.4621E-05,1,0.0057988
72,TOG,CRES,9.1053E-06,1,0.0014019
72,TOG,APIN,2.2632E-06,1,0.0003083
