CO,CO,CO,1,28,1
867,TOG,BDE13,1.4241E-04,1,0.0077031
867,TOG,ALK5,8.7263E-04,1,0.0991443
867,TOG,HCHO,5.2975E-04,1,0.0159064
867,TOG,CCHO,1.1809E-04,1,0.0052021
867,TOG,RCHO,2.0324E-05,1,0.0014006
867,TOG,ACRO,1.6060E-05,1,0.0009004
867,TOG,MACR,9.9912E-06,1,0.0007003
867,TOG,ACET,4.1340E-05,1,0.0024010
867,TOG,MEK,6.9370E-06,1,0.0005002
867,TOG,ARO2,6.7259E-04,1,0.0864568
867,TOG,BENZ,5.2382E-04,1,0.0409164
867,TOG,TOLU,7.7849E-04,1,0.0717287
867,TOG,ARO1,1.9092E-04,1,0.0249020
867,TOG,OXYL,1.8469E-04,1,0.0196078
867,TOG,B124,1.9272E-04,1,0.0231637
867,TOG,BALD,3.2396E-05,1,0.0036014
867,TOG,ISOP,7.3433E-06,1,0.0005002
867,TOG,IPRD,8.5639E-06,1,0.0006002
867,TOG,MXYL,2.5442E-04,1,0.0270108
867,TOG,PXYL,2.5442E-04,1,0.0270108
867,TOG,PRD2,1.1435E-05,1,0.0013057
867,TOG,PACD,6.0174E-06,1,0.0008794
867,TOG,APIN,5.6481E-06,1,0.0007695
867,TOG,TERP,4.8413E-06,1,0.0006595
867,TOG,CRES,1.3538E-06,1,0.0002034
867,TOG,MVK,3.1357E-07,1,0.0000440
867,TOG,NROG,2.1985E-03,1,0.0021985
868,TOG,ALK4,1.5649E-03,1,0.1331571
868,TOG,CH4,4.0020E-03,1,0.0642000
868,TOG,ALK1,3.9243E-04,1,0.0118000
868,TOG,ETHE,2.7769E-03,1,0.0779000
868,TOG,ALK2,2.9481E-05,1,0.0013000
868,TOG,PRPE,1.0385E-03,1,0.0437000
868,TOG,ACYE,1.0562E-03,1,0.0275000
868,TOG,OLE1,2.6844E-04,1,0.0184487
868,TOG,ALK3,5.1523E-04,1,0.0399999
868,TOG,OLE2,7.9568E-04,1,0.0542798
868,TOG,BDE13,1.7009E-04,1,0.0092000
868,TOG,ALK5,1.0310E-03,1,0.1182512
868,TOG,HCHO,2.0316E-04,1,0.0061000
868,TOG,CCHO,9.9880E-05,1,0.0044000
868,TOG,RCHO,2.5471E-05,1,0.0017000
868,TOG,ACRO,1.6053E-05,1,0.0009000
868,TOG,MACR,9.9872E-06,1,0.0007000
868,TOG,ACET,4.3045E-05,1,0.0025000
868,TOG,MEK,6.9342E-06,1,0.0005000
868,TOG,ARO2,7.8700E-04,1,0.1005153
868,TOG,BENZ,4.6344E-04,1,0.0362000
868,TOG,TOLU,8.6284E-04,1,0.0795000
868,TOG,ARO1,2.4372E-04,1,0.0324092
868,TOG,OXYL,2.3454E-04,1,0.0249000
868,TOG,B124,2.3899E-04,1,0.0287247
868,TOG,BALD,3.6875E-05,1,0.0041000
868,TOG,ISOP,1.0276E-05,1,0.0007000
868,TOG,IPRD,8.5604E-06,1,0.0006000
868,TOG,MXYL,3.1555E-04,1,0.0335000
868,TOG,PXYL,3.1555E-04,1,0.0335000
868,TOG,PRD2,1.6632E-05,1,0.0018992
868,TOG,PACD,8.7521E-06,1,0.0012790
868,TOG,APIN,8.2150E-06,1,0.0011192
868,TOG,TERP,7.0414E-06,1,0.0009593
868,TOG,CRES,1.9690E-06,1,0.0002958
868,TOG,MVK,4.5607E-07,1,0.0000640
868,TOG,NROG,3.1976E-03,1,0.0031976
869,TOG,ALK4,1.8408E-03,1,0.1528603
869,TOG,CH4,6.0947E-03,1,0.0977707
869,TOG,ALK1,5.6520E-04,1,0.0169949
869,TOG,ETHE,2.9970E-03,1,0.0840748
869,TOG,ALK2,3.1739E-05,1,0.0013996
869,TOG,PRPE,9.8117E-04,1,0.0412876
869,TOG,ACYE,1.0751E-03,1,0.0279916
869,TOG,OLE1,2.4299E-04,1,0.0165991
869,TOG,ALK3,4.6336E-04,1,0.0374670
869,TOG,OLE2,6.9676E-04,1,0.0466226
869,TOG,BDE13,1.1829E-04,1,0.0063981
869,TOG,ALK5,9.8365E-04,1,0.1116800
869,TOG,HCHO,4.0286E-04,1,0.0120964
869,TOG,CCHO,1.1347E-04,1,0.0049985
869,TOG,RCHO,2.2194E-05,1,0.0014996
869,TOG,ACRO,1.7832E-05,1,0.0009997
869,TOG,MACR,1.1410E-05,1,0.0007998
869,TOG,ACET,4.3032E-05,1,0.0024993
869,TOG,MEK,8.3186E-06,1,0.0005998
869,TOG,ARO2,6.6330E-04,1,0.0849612
869,TOG,BENZ,4.9785E-04,1,0.0388883
869,TOG,TOLU,7.8771E-04,1,0.0725782
869,TOG,ARO1,2.0191E-04,1,0.0265917
869,TOG,OXYL,1.9398E-04,1,0.0205938
869,TOG,B124,1.9277E-04,1,0.0231689
869,TOG,BALD,3.6644E-05,1,0.0040988
869,TOG,ISOP,7.3381E-06,1,0.0004999
869,TOG,IPRD,9.9842E-06,1,0.0006998
869,TOG,MXYL,2.6554E-04,1,0.0281915
869,TOG,PXYL,2.6554E-04,1,0.0281915
869,TOG,PRD2,1.3015E-05,1,0.0014862
869,TOG,PACD,6.8488E-06,1,0.0010009
869,TOG,APIN,6.4285E-06,1,0.0008758
869,TOG,TERP,5.5102E-06,1,0.0007507
869,TOG,CRES,1.5408E-06,1,0.0002315
869,TOG,MVK,3.5689E-07,1,0.0000500
869,TOG,NROG,2.5022E-03,1,0.0025022
870,TOG,ALK4,1.7982E-03,1,0.1509468
870,TOG,CH4,4.5621E-03,1,0.0731854
870,TOG,ALK1,4.9210E-04,1,0.0147970
870,TOG,ETHE,2.7478E-03,1,0.0770846
870,TOG,ALK2,3.1743E-05,1,0.0013997
870,TOG,PRPE,9.9315E-04,1,0.0417917
870,TOG,ACYE,1.1942E-03,1,0.0310938
870,TOG,OLE1,2.5739E-04,1,0.0176299
870,TOG,ALK3,5.0917E-04,1,0.0404823
870,TOG,OLE2,7.4958E-04,1,0.0507187
870,TOG,BDE13,1.2754E-04,1,0.0068986
870,TOG,ALK5,1.0532E-03,1,0.1200184
870,TOG,HCHO,2.5972E-04,1,0.0077984
870,TOG,CCHO,1.0667E-04,1,0.0046991
870,TOG,RCHO,2.3917E-05,1,0.0015997
870,TOG,ACRO,1.7834E-05,1,0.0009998
870,TOG,MACR,1.1412E-05,1,0.0007998
870,TOG,ACET,4.3036E-05,1,0.0024995
870,TOG,MEK,6.9329E-06,1,0.0004999
870,TOG,ARO2,7.0473E-04,1,0.0900330
870,TOG,BENZ,4.7358E-04,1,0.0369926
870,TOG,TOLU,8.2034E-04,1,0.0755849
870,TOG,ARO1,2.2228E-04,1,0.0294957
870,TOG,OXYL,2.1378E-04,1,0.0226955
870,TOG,B124,2.0965E-04,1,0.0251982
870,TOG,BALD,3.9364E-05,1,0.0043991
870,TOG,ISOP,8.8066E-06,1,0.0005999
870,TOG,IPRD,9.9852E-06,1,0.0006999
870,TOG,MXYL,2.8911E-04,1,0.0306939
870,TOG,PXYL,2.8911E-04,1,0.0306939
870,TOG,PRD2,1.5041E-05,1,0.0017174
870,TOG,PACD,7.9146E-06,1,0.0011567
870,TOG,APIN,7.4289E-06,1,0.0010121
870,TOG,TERP,6.3677E-06,1,0.0008675
870,TOG,CRES,1.7806E-06,1,0.0002675
870,TOG,MVK,4.1243E-07,1,0.0000578
870,TOG,NROG,2.8916E-03,1,0.0028916
871,TOG,ALK4,2.2210E-03,1,0.1827561
871,TOG,CH4,5.4986E-03,1,0.0882088
871,TOG,ALK1,6.6520E-04,1,0.0200020
871,TOG,ETHE,2.6845E-03,1,0.0753075
871,TOG,ALK2,3.5406E-05,1,0.0016002
871,TOG,PRPE,9.1264E-04,1,0.0384039
871,TOG,ACYE,1.4250E-03,1,0.0371037
871,TOG,OLE1,2.3803E-04,1,0.0161940
871,TOG,ALK3,5.0177E-04,1,0.0413775
871,TOG,OLE2,6.6767E-04,1,0.0443641
871,TOG,BDE13,5.3620E-05,1,0.0029003
871,TOG,ALK5,1.0808E-03,1,0.1218741
871,TOG,HCHO,4.1968E-04,1,0.0126013
871,TOG,CCHO,1.1805E-04,1,0.0052005
871,TOG,RCHO,2.6207E-05,1,0.0017002
871,TOG,ACRO,2.1407E-05,1,0.0012001
871,TOG,MACR,1.2842E-05,1,0.0009001
871,TOG,ACET,4.6493E-05,1,0.0027003
871,TOG,MEK,1.2483E-05,1,0.0009001
871,TOG,ARO2,5.6365E-04,1,0.0721081
871,TOG,BENZ,4.9037E-04,1,0.0383038
871,TOG,TOLU,7.4135E-04,1,0.0683068
871,TOG,ARO1,1.8520E-04,1,0.0244414
871,TOG,OXYL,1.7616E-04,1,0.0187019
871,TOG,B124,1.5780E-04,1,0.0189668
871,TOG,BALD,4.1653E-05,1,0.0047005
871,TOG,ISOP,5.8728E-06,1,0.0004000
871,TOG,IPRD,1.1415E-05,1,0.0008001
871,TOG,MXYL,2.4257E-04,1,0.0257526
871,TOG,PXYL,2.4257E-04,1,0.0257526
871,TOG,PRD2,1.2211E-05,1,0.0013943
871,TOG,PACD,6.4254E-06,1,0.0009390
871,TOG,APIN,6.0311E-06,1,0.0008216
871,TOG,TERP,5.1695E-06,1,0.0007043
871,TOG,CRES,1.4455E-06,1,0.0002171
871,TOG,MVK,3.3483E-07,1,0.0000470
871,TOG,NROG,2.3475E-03,1,0.0023475
875,TOG,ALK4,2.7010E-03,1,0.2216468
875,TOG,CH4,2.8624E-03,1,0.0459184
875,TOG,ALK1,2.8280E-04,1,0.0085034
875,TOG,ETHE,2.4357E-03,1,0.0683273
875,TOG,ALK2,1.3612E-05,1,0.0006002
875,TOG,PRPE,7.4650E-04,1,0.0314126
875,TOG,ACYE,2.5704E-03,1,0.0669268
875,TOG,OLE1,3.5971E-04,1,0.0199132
875,TOG,ALK3,7.0074E-04,1,0.0631530
875,TOG,OLE2,8.9991E-04,1,0.0574608
875,TOG,BDE13,1.2577E-04,1,0.0068027
875,TOG,ALK5,1.0936E-03,1,0.1213035
875,TOG,ISOP,2.4967E-05,1,0.0017007
875,TOG,MEOH,3.0285E-04,1,0.0097039
875,TOG,ETOH,2.3887E-05,1,0.0011004
875,TOG,HCHO,4.4979E-04,1,0.0135054
875,TOG,CCHO,1.6123E-04,1,0.0071028
875,TOG,RCHO,2.6690E-05,1,0.0019008
875,TOG,ACRO,2.1413E-05,1,0.0012005
875,TOG,MACR,1.8555E-05,1,0.0013005
875,TOG,ACET,5.8564E-05,1,0.0034014
875,TOG,MEK,6.9370E-06,1,0.0005002
875,TOG,ARO2,3.6661E-04,1,0.0459759
875,TOG,BENZ,3.4452E-04,1,0.0269108
875,TOG,TOLU,7.3289E-04,1,0.0675270
875,TOG,ARO1,1.7713E-04,1,0.0208618
875,TOG,OXYL,1.5171E-04,1,0.0161064
875,TOG,MXYL,4.4383E-04,1,0.0471189
875,TOG,B124,1.1205E-04,1,0.0134677
875,TOG,BALD,4.8154E-05,1,0.0054022
875,TOG,IPRD,1.1418E-05,1,0.0008003
875,TOG,PRD2,4.6115E-06,1,0.0005266
875,TOG,PACD,2.4266E-06,1,0.0003546
875,TOG,APIN,2.2777E-06,1,0.0003103
875,TOG,TERP,1.9523E-06,1,0.0002660
875,TOG,CRES,5.4593E-07,1,0.0000820
875,TOG,MVK,1.2645E-07,1,0.0000177
875,TOG,NROG,8.8660E-04,1,0.0008866
876,TOG,ALK4,2.9863E-03,1,0.2409000
876,TOG,CH4,9.8616E-03,1,0.1582000
876,TOG,ALK1,3.6250E-04,1,0.0109000
876,TOG,ETHE,2.3990E-03,1,0.0673000
876,TOG,ALK2,1.3607E-05,1,0.0006000
876,TOG,PRPE,7.6996E-04,1,0.0324000
876,TOG,ACYE,1.3212E-03,1,0.0344000
876,TOG,OLE1,2.6544E-04,1,0.0146000
876,TOG,ALK3,6.0424E-04,1,0.0529000
876,TOG,OLE2,9.7376E-04,1,0.0603000
876,TOG,BDE13,1.0538E-04,1,0.0057000
876,TOG,ALK5,8.5551E-04,1,0.0922000
876,TOG,ISOP,2.2021E-05,1,0.0015000
876,TOG,MEOH,1.3108E-04,1,0.0042000
876,TOG,ETOH,1.5195E-05,1,0.0007000
876,TOG,HCHO,5.8616E-04,1,0.0176000
876,TOG,CCHO,5.6750E-05,1,0.0025000
876,TOG,RCHO,1.6302E-05,1,0.0012000
876,TOG,ACRO,2.4972E-05,1,0.0014000
876,TOG,MACR,1.2841E-05,1,0.0009000
876,TOG,ACET,2.9270E-05,1,0.0017000
876,TOG,MEK,2.7737E-06,1,0.0002000
876,TOG,ARO2,2.4605E-04,1,0.0305000
876,TOG,BENZ,3.4950E-04,1,0.0273000
876,TOG,TOLU,6.6097E-04,1,0.0609000
876,TOG,ARO1,1.2603E-04,1,0.0137000
876,TOG,OXYL,1.2339E-04,1,0.0131000
876,TOG,MXYL,3.5511E-04,1,0.0377000
876,TOG,B124,8.4864E-05,1,0.0102000
876,TOG,BALD,3.5162E-05,1,0.0040000
876,TOG,IPRD,4.2802E-06,1,0.0003000
877,TOG,ALK4,2.7213E-03,1,0.2234914
877,TOG,CH4,3.2914E-03,1,0.0528000
877,TOG,ALK1,2.4610E-04,1,0.0074000
877,TOG,ETHE,2.2992E-03,1,0.0645000
877,TOG,ALK2,1.5874E-05,1,0.0007000
877,TOG,PRPE,7.7234E-04,1,0.0325000
877,TOG,ACYE,1.5862E-03,1,0.0413000
877,TOG,OLE1,3.4915E-04,1,0.0194665
877,TOG,ALK3,6.7753E-04,1,0.0610084
877,TOG,OLE2,9.3685E-04,1,0.0603331
877,TOG,BDE13,1.2941E-04,1,0.0070000
877,TOG,ALK5,1.1651E-03,1,0.1284930
877,TOG,ISOP,3.0829E-05,1,0.0021000
877,TOG,MEOH,3.8387E-04,1,0.0123000
877,TOG,ETOH,1.9536E-05,1,0.0009000
877,TOG,HCHO,4.3629E-04,1,0.0131000
877,TOG,CCHO,9.0800E-05,1,0.0040000
877,TOG,RCHO,2.4132E-05,1,0.0017000
877,TOG,ACRO,1.9621E-05,1,0.0011000
877,TOG,MACR,1.4267E-05,1,0.0010000
877,TOG,ACET,5.8541E-05,1,0.0034000
877,TOG,MEK,8.3211E-06,1,0.0006000
877,TOG,ARO2,4.1689E-04,1,0.0522215
877,TOG,BENZ,3.1621E-04,1,0.0247000
877,TOG,TOLU,7.8686E-04,1,0.0725000
877,TOG,ARO1,1.8819E-04,1,0.0211244
877,TOG,OXYL,1.6766E-04,1,0.0178000
877,TOG,MXYL,4.8698E-04,1,0.0517000
877,TOG,B124,1.2662E-04,1,0.0152189
877,TOG,BALD,3.8319E-05,1,0.0043000
877,TOG,IPRD,7.1337E-06,1,0.0005000
877,TOG,PRD2,1.4016E-06,1,0.0001600
877,TOG,PACD,7.3754E-07,1,0.0001078
877,TOG,APIN,6.9227E-07,1,0.0000943
877,TOG,TERP,5.9338E-07,1,0.0000808
877,TOG,CRES,1.6593E-07,1,0.0000249
877,TOG,MVK,3.8433E-08,1,0.0000054
877,TOG,NROG,2.6950E-04,1,0.0002695
878,TOG,ALK4,3.0398E-03,1,0.2460487
878,TOG,CH4,7.6884E-03,1,0.1233370
878,TOG,ALK1,3.7259E-04,1,0.0112034
878,TOG,ETHE,2.4497E-03,1,0.0687206
878,TOG,ALK2,1.1342E-05,1,0.0005002
878,TOG,PRPE,7.8446E-04,1,0.0330099
878,TOG,ACYE,1.3754E-03,1,0.0358108
878,TOG,OLE1,2.8121E-04,1,0.0153245
878,TOG,ALK3,6.6477E-04,1,0.0583226
878,TOG,OLE2,9.6407E-04,1,0.0596978
878,TOG,BDE13,1.0726E-04,1,0.0058017
878,TOG,ALK5,9.0935E-04,1,0.0984254
878,TOG,ISOP,1.9091E-05,1,0.0013004
878,TOG,MEOH,1.6546E-04,1,0.0053016
878,TOG,ETOH,1.7371E-05,1,0.0008002
878,TOG,HCHO,6.2964E-04,1,0.0189057
878,TOG,CCHO,8.1744E-05,1,0.0036011
878,TOG,RCHO,1.9416E-05,1,0.0014004
878,TOG,ACRO,2.1411E-05,1,0.0012004
878,TOG,MACR,1.4272E-05,1,0.0010003
878,TOG,ACET,3.9613E-05,1,0.0023007
878,TOG,MEK,4.1618E-06,1,0.0003001
878,TOG,ARO2,2.6339E-04,1,0.0327027
878,TOG,BENZ,3.4832E-04,1,0.0272082
878,TOG,TOLU,6.8071E-04,1,0.0627188
878,TOG,ARO1,1.3791E-04,1,0.0152792
878,TOG,OXYL,1.2908E-04,1,0.0137041
878,TOG,MXYL,3.7217E-04,1,0.0395119
878,TOG,B124,8.9978E-05,1,0.0108146
878,TOG,BALD,4.1441E-05,1,0.0047014
878,TOG,IPRD,8.5630E-06,1,0.0006002
878,TOG,PRD2,8.4121E-07,1,0.0000961
878,TOG,PACD,4.4265E-07,1,0.0000647
878,TOG,APIN,4.1549E-07,1,0.0000566
878,TOG,TERP,3.5613E-07,1,0.0000485
878,TOG,CRES,9.9586E-08,1,0.0000150
878,TOG,MVK,2.3067E-08,1,0.0000032
878,TOG,NROG,1.6170E-04,1,0.0001617
879,TOG,ALK4,2.9312E-03,1,0.2390244
879,TOG,CH4,4.2825E-03,1,0.0687000
879,TOG,ALK1,3.5585E-04,1,0.0107000
879,TOG,ETHE,2.5238E-03,1,0.0708000
879,TOG,ALK2,1.3607E-05,1,0.0006000
879,TOG,PRPE,7.9848E-04,1,0.0336000
879,TOG,ACYE,1.8781E-03,1,0.0489000
879,TOG,OLE1,3.2464E-04,1,0.0176596
879,TOG,ALK3,6.9559E-04,1,0.0622152
879,TOG,OLE2,9.0396E-04,1,0.0567396
879,TOG,BDE13,1.1832E-04,1,0.0064000
879,TOG,ALK5,1.0224E-03,1,0.1117875
879,TOG,ISOP,2.0553E-05,1,0.0014000
879,TOG,MEOH,2.4343E-04,1,0.0078000
879,TOG,ETOH,1.9536E-05,1,0.0009000
879,TOG,HCHO,5.9615E-04,1,0.0179000
879,TOG,CCHO,1.2258E-04,1,0.0054000
879,TOG,RCHO,2.3182E-05,1,0.0017000
879,TOG,ACRO,2.3188E-05,1,0.0013000
879,TOG,MACR,1.8548E-05,1,0.0013000
879,TOG,ACET,4.9932E-05,1,0.0029000
879,TOG,MEK,5.5474E-06,1,0.0004000
879,TOG,ARO2,3.1583E-04,1,0.0393787
879,TOG,BENZ,3.4822E-04,1,0.0272000
879,TOG,TOLU,7.3260E-04,1,0.0675000
879,TOG,ARO1,1.5969E-04,1,0.0182239
879,TOG,OXYL,1.4506E-04,1,0.0154000
879,TOG,MXYL,4.1916E-04,1,0.0445000
879,TOG,B124,1.0345E-04,1,0.0124341
879,TOG,BALD,4.6972E-05,1,0.0053000
879,TOG,IPRD,8.5604E-06,1,0.0006000
879,TOG,PRD2,2.5229E-06,1,0.0002881
879,TOG,PACD,1.3276E-06,1,0.0001940
879,TOG,APIN,1.2461E-06,1,0.0001698
879,TOG,TERP,1.0681E-06,1,0.0001455
879,TOG,CRES,2.9867E-07,1,0.0000449
879,TOG,MVK,6.9180E-08,1,0.0000097
879,TOG,NROG,4.8500E-04,1,0.0004850
880,TOG,CH4,6.8216E-03,1,0.1094328
880,TOG,ALK1,4.2582E-04,1,0.0128038
880,TOG,ETHE,2.4746E-03,1,0.0694208
880,TOG,ALK2,1.0460E-05,1,0.0005001
880,TOG,PRPE,7.9872E-04,1,0.0336101
880,TOG,ACYE,8.1447E-04,1,0.0212064
880,TOG,OLE1,2.7633E-04,1,0.0146836
880,TOG,ALK3,7.7761E-04,1,0.0667241
880,TOG,OLE2,1.0168E-03,1,0.0619837
880,TOG,BDE13,9.8014E-05,1,0.0053016
880,TOG,ALK4,3.3394E-03,1,0.2696232
880,TOG,ALK5,8.9845E-04,1,0.0966034
880,TOG,ISOP,8.8110E-06,1,0.0006002
880,TOG,MEOH,1.5297E-04,1,0.0049015
880,TOG,ETOH,2.3885E-05,1,0.0011003
880,TOG,HCHO,7.7956E-04,1,0.0234070
880,TOG,CCHO,8.4015E-05,1,0.0037011
880,TOG,RCHO,2.3524E-05,1,0.0017005
880,TOG,ACRO,1.2490E-05,1,0.0007002
880,TOG,MACR,1.1417E-05,1,0.0008002
880,TOG,ACET,4.9947E-05,1,0.0029009
880,TOG,MEK,4.1618E-06,1,0.0003001
880,TOG,ARO2,2.2715E-04,1,0.0280656
880,TOG,BENZ,3.4576E-04,1,0.0270081
880,TOG,TOLU,6.5791E-04,1,0.0606182
880,TOG,ARO1,1.3524E-04,1,0.0149097
880,TOG,OXYL,1.2155E-04,1,0.0129039
880,TOG,MXYL,3.5050E-04,1,0.0372112
880,TOG,B124,8.4134E-05,1,0.0101123
880,TOG,BALD,4.8431E-05,1,0.0055016
880,TOG,IPRD,1.8553E-05,1,0.0013004
880,TOG,PRD2,6.8543E-07,1,0.0000783
880,TOG,PACD,3.6068E-07,1,0.0000527
880,TOG,APIN,3.3855E-07,1,0.0000461
880,TOG,TERP,2.9018E-07,1,0.0000395
880,TOG,CRES,8.1144E-08,1,0.0000122
880,TOG,MVK,1.8795E-08,1,0.0000026
880,TOG,NROG,1.3180E-04,1,0.0001318
881,TOG,ALK4,2.7008E-03,1,0.2216311
881,TOG,CH4,2.8184E-03,1,0.0452136
881,TOG,ALK1,2.8609E-04,1,0.0086026
881,TOG,ETHE,2.4390E-03,1,0.0684205
881,TOG,ALK2,1.3611E-05,1,0.0006002
881,TOG,PRPE,7.4880E-04,1,0.0315095
881,TOG,ACYE,2.5702E-03,1,0.0669201
881,TOG,OLE1,3.5973E-04,1,0.0199194
881,TOG,ALK3,7.0353E-04,1,0.0633469
881,TOG,OLE2,9.0127E-04,1,0.0575581
881,TOG,BDE13,1.2575E-04,1,0.0068020
881,TOG,ALK5,1.0938E-03,1,0.1213357
881,TOG,ISOP,2.4965E-05,1,0.0017005
881,TOG,MEOH,3.0282E-04,1,0.0097029
881,TOG,ETOH,2.3885E-05,1,0.0011003
881,TOG,HCHO,4.4975E-04,1,0.0135041
881,TOG,CCHO,1.6122E-04,1,0.0071021
881,TOG,RCHO,2.6688E-05,1,0.0019006
881,TOG,ACRO,2.1411E-05,1,0.0012004
881,TOG,MACR,1.8553E-05,1,0.0013004
881,TOG,ACET,5.8559E-05,1,0.0034010
881,TOG,MEK,6.9363E-06,1,0.0005002
881,TOG,ARO2,3.6662E-04,1,0.0459784
881,TOG,BENZ,3.4448E-04,1,0.0269081
881,TOG,TOLU,7.3390E-04,1,0.0676203
881,TOG,ARO1,1.7715E-04,1,0.0208736
881,TOG,OXYL,1.5170E-04,1,0.0161048
881,TOG,MXYL,4.4378E-04,1,0.0471141
881,TOG,B124,1.1204E-04,1,0.0134667
881,TOG,BALD,4.8149E-05,1,0.0054016
881,TOG,IPRD,1.1417E-05,1,0.0008002
881,TOG,PRD2,4.6422E-06,1,0.0005301
881,TOG,PACD,2.4428E-06,1,0.0003570
881,TOG,APIN,2.2929E-06,1,0.0003124
881,TOG,TERP,1.9653E-06,1,0.0002677
881,TOG,CRES,5.4957E-07,1,0.0000826
881,TOG,MVK,1.2729E-07,1,0.0000178
881,TOG,NROG,8.9250E-04,1,0.0008925
882,TOG,ALK4,2.9105E-03,1,0.2349000
882,TOG,CH4,1.1065E-02,1,0.1775000
882,TOG,ALK1,3.5585E-04,1,0.0107000
882,TOG,ETHE,2.3420E-03,1,0.0657000
882,TOG,ALK2,1.3607E-05,1,0.0006000
882,TOG,PRPE,7.5095E-04,1,0.0316000
882,TOG,ACYE,1.2943E-03,1,0.0337000
882,TOG,OLE1,2.6366E-04,1,0.0145000
882,TOG,ALK3,5.8759E-04,1,0.0515000
882,TOG,OLE2,9.5248E-04,1,0.0590000
882,TOG,BDE13,1.0168E-04,1,0.0055000
882,TOG,ALK5,8.3771E-04,1,0.0903000
882,TOG,ISOP,2.0553E-05,1,0.0014000
882,TOG,MEOH,1.2796E-04,1,0.0041000
882,TOG,ETOH,1.5195E-05,1,0.0007000
882,TOG,HCHO,5.7284E-04,1,0.0172000
882,TOG,CCHO,5.6750E-05,1,0.0025000
882,TOG,RCHO,1.5141E-05,1,0.0011000
882,TOG,ACRO,2.4972E-05,1,0.0014000
882,TOG,MACR,1.2841E-05,1,0.0009000
882,TOG,ACET,2.9270E-05,1,0.0017000
882,TOG,MEK,2.7737E-06,1,0.0002000
882,TOG,ARO2,2.4124E-04,1,0.0299000
882,TOG,BENZ,3.4182E-04,1,0.0267000
882,TOG,TOLU,6.4577E-04,1,0.0595000
882,TOG,ARO1,1.2331E-04,1,0.0134000
882,TOG,OXYL,1.2057E-04,1,0.0128000
882,TOG,MXYL,3.4757E-04,1,0.0369000
882,TOG,B124,8.3200E-05,1,0.0100000
882,TOG,BALD,3.3388E-05,1,0.0038000
882,TOG,IPRD,4.2802E-06,1,0.0003000
883,TOG,ALK4,2.7269E-03,1,0.2238795
883,TOG,CH4,3.2586E-03,1,0.0522739
883,TOG,ALK1,2.4598E-04,1,0.0073963
883,TOG,ETHE,2.3016E-03,1,0.0645678
883,TOG,ALK2,1.5867E-05,1,0.0006997
883,TOG,PRPE,7.7195E-04,1,0.0324838
883,TOG,ACYE,1.5854E-03,1,0.0412794
883,TOG,OLE1,3.4898E-04,1,0.0194567
883,TOG,ALK3,6.7719E-04,1,0.0609780
883,TOG,OLE2,9.3638E-04,1,0.0603030
883,TOG,BDE13,1.2935E-04,1,0.0069965
883,TOG,ALK5,1.1655E-03,1,0.1285288
883,TOG,ISOP,3.0814E-05,1,0.0020990
883,TOG,MEOH,3.8368E-04,1,0.0122939
883,TOG,ETOH,1.9527E-05,1,0.0008996
883,TOG,HCHO,4.3607E-04,1,0.0130935
883,TOG,CCHO,9.0754E-05,1,0.0039980
883,TOG,RCHO,2.4120E-05,1,0.0016992
883,TOG,ACRO,1.9611E-05,1,0.0010995
883,TOG,MACR,1.4260E-05,1,0.0009995
883,TOG,ACET,5.8512E-05,1,0.0033983
883,TOG,MEK,8.3169E-06,1,0.0005997
883,TOG,ARO2,4.1668E-04,1,0.0521955
883,TOG,BENZ,3.1605E-04,1,0.0246877
883,TOG,TOLU,7.8864E-04,1,0.0726637
883,TOG,ARO1,1.8810E-04,1,0.0211138
883,TOG,OXYL,1.6758E-04,1,0.0177911
883,TOG,MXYL,4.8768E-04,1,0.0517741
883,TOG,B124,1.2656E-04,1,0.0152113
883,TOG,BALD,3.8300E-05,1,0.0042979
883,TOG,IPRD,7.1301E-06,1,0.0004998
883,TOG,PRD2,1.4009E-06,1,0.0001600
883,TOG,PACD,7.3717E-07,1,0.0001077
883,TOG,APIN,6.9193E-07,1,0.0000943
883,TOG,TERP,5.9308E-07,1,0.0000808
883,TOG,CRES,1.6584E-07,1,0.0000249
883,TOG,MVK,3.8414E-08,1,0.0000054
883,TOG,NROG,2.6930E-04,1,0.0002693
884,TOG,ALK4,2.9937E-03,1,0.2422960
884,TOG,CH4,8.5506E-03,1,0.1371686
884,TOG,ALK1,3.6601E-04,1,0.0110055
884,TOG,ETHE,2.4109E-03,1,0.0676338
884,TOG,ALK2,1.1345E-05,1,0.0005003
884,TOG,PRPE,7.7035E-04,1,0.0324162
884,TOG,ACYE,1.3526E-03,1,0.0352176
884,TOG,OLE1,2.7687E-04,1,0.0150274
884,TOG,ALK3,6.5511E-04,1,0.0574338
884,TOG,OLE2,9.4786E-04,1,0.0587093
884,TOG,BDE13,1.0543E-04,1,0.0057029
884,TOG,ALK5,8.9641E-04,1,0.0970444
884,TOG,ISOP,1.9094E-05,1,0.0013007
884,TOG,MEOH,1.6549E-04,1,0.0053027
884,TOG,ETOH,1.7374E-05,1,0.0008004
884,TOG,HCHO,6.1977E-04,1,0.0186093
884,TOG,CCHO,7.9490E-05,1,0.0035018
884,TOG,RCHO,1.9420E-05,1,0.0014007
884,TOG,ACRO,2.1415E-05,1,0.0012006
884,TOG,MACR,1.2847E-05,1,0.0009005
884,TOG,ACET,3.9621E-05,1,0.0023012
