0,CO,CO
0,NH3,NH3
10201402,4,TOG
10201403,112,PM
10201403,504,TOG
10201404,1104,PM
10201404,504,TOG
10201601,1101,PM
10201601,4,TOG
10201701,1101,PM
10201701,665,TOG
10299901,1104,PM
10299901,504,TOG
10299997,1101,PM
10299997,504,TOG
10299998,1101,PM
10299998,504,TOG
10299999,1101,PM
10299999,504,TOG
10300102,131,PM
10300102,535,TOG
10300103,131,PM
10300103,535,TOG
10300109,131,PM
10300109,535,TOG
10300152,900,PM
10300152,600,TOG
10300306,131,PM
10300306,600,TOG
10300401,1104,PM
10300401,504,TOG
10300402,1104,PM
10300402,504,TOG
10300403,1104,PM
10300403,504,TOG
10300404,1104,PM
10300404,504,TOG
10300501,112,PM
10300501,504,TOG
10300502,112,PM
10300502,504,TOG
10300503,112,PM
10300503,504,TOG
10300504,112,PM
10300504,504,TOG
10300601,1101,PM
10300601,3,TOG
10300602,1101,PM
10300602,3,TOG
10300603,1101,PM
10300603,3,TOG
10300701,1101,PM
10300701,4,TOG
10300702,1101,PM
10300702,4,TOG
10300703,1101,PM
10300703,4,TOG
10300799,1101,PM
10300799,4,TOG
10300811,1101,PM
10300811,3,TOG
10300902,133,PM
10300902,549,TOG
10300903,133,PM
10300903,549,TOG
10300912,133,PM
10300912,549,TOG
10301001,1101,PM
10301001,4,TOG
10301002,1101,PM
10301002,4,TOG
10301003,1101,PM
10301003,4,TOG
10301201,134,PM
10301201,122,TOG
10301202,134,PM
10301202,122,TOG
10301301,110,PM
10301301,504,TOG
10301302,110,PM
10301302,504,TOG
10301303,110,PM
10301303,504,TOG
10399901,1104,PM
10399901,504,TOG
10399997,1104,PM
10399997,504,TOG
10399998,1104,PM
10399998,504,TOG
10399999,1104,PM
10399999,504,TOG
10500104,1104,PM
10500104,504,TOG
10500105,1104,PM
10500105,504,TOG
10500106,1101,PM
10500106,3,TOG
10500110,1101,PM
10500110,4,TOG
10500197,1104,PM
10500197,504,TOG
10500198,1104,PM
10500198,504,TOG
10500199,1101,PM
10500199,3,TOG
10500204,1104,PM
10500204,504,TOG
10500205,112,PM
10500205,504,TOG
10500206,1101,PM
10500206,3,TOG
10500209,133,PM
10500209,549,TOG
10500210,1101,PM
10500210,4,TOG
10500214,112,PM
10500214,504,TOG
10500298,110,PM
10500298,504,TOG
10500299,1101,PM
10500299,3,TOG
20100101,1105,PM
20100101,818,TOG
20100102,1105,PM
20100102,818,TOG
20100103,900,PM
20100103,600,TOG
20100105,1105,PM
20100105,818,TOG
20100107,1105,PM
20100107,504,TOG
20100108,1105,PM
20100108,504,TOG
20100109,1105,PM
20100109,818,TOG
20100200,1103,PM
20100200,719,TOG
20100201,1103,PM
20100201,719,TOG
20100202,1103,PM
20100202,719,TOG
20100205,1103,PM
20100205,719,TOG
20100207,1103,PM
20100207,719,TOG
20100209,1103,PM
20100209,719,TOG
20100253,900,PM
20100253,600,TOG
20100301,1105,PM
20100301,818,TOG
20100302,1105,PM
20100302,818,TOG
20100401,1103,PM
20100401,504,TOG
20100501,1412,PM
20100501,586,TOG
20100702,1103,PM
20100702,719,TOG
20100707,1103,PM
20100707,719,TOG
20100801,1103,PM
20100801,719,TOG
20100802,1103,PM
20100802,719,TOG
20100805,1103,PM
20100805,719,TOG
20100807,1103,PM
20100807,719,TOG
20100809,1103,PM
20100809,719,TOG
20100901,1412,PM
20100901,5861,TOG
20100902,1412,PM
20100902,5861,TOG
20100909,1412,PM
20100909,5861,TOG
20101001,1103,PM
20101001,562,TOG
20101010,1103,PM
20101010,562,TOG
20101020,1103,PM
20101020,562,TOG
20101021,1103,PM
20101021,562,TOG
20101030,1103,PM
20101030,562,TOG
20101031,1103,PM
20101031,562,TOG
20101302,311,PM
20101302,600,TOG
20182001,1103,PM
20182001,1402,TOG
20182599,1103,PM
20182599,1402,TOG
20190099,1103,PM
20190099,51,TOG
20199998,1103,PM
20199998,9,TOG
20200101,1105,PM
20200101,818,TOG
20200102,1105,PM
20200102,818,TOG
20200103,1105,PM
20200103,818,TOG
20200104,1105,PM
20200104,818,TOG
20200105,1105,PM
20200105,818,TOG
20200106,1105,PM
20200106,760,TOG
20200107,1105,PM
20200107,818,TOG
20200201,1103,PM
20200201,719,TOG
20200202,1103,PM
20200202,719,TOG
20200203,1103,PM
20200203,719,TOG
20200204,1103,PM
20200204,719,TOG
20200205,1103,PM
20200205,719,TOG
20200209,1103,PM
20200209,719,TOG
20200251,1103,PM
20200251,719,TOG
20200252,1103,PM
20200252,719,TOG
20200253,1103,PM
20200253,719,TOG
20200254,1103,PM
20200254,719,TOG
20200256,1103,PM
20200256,600,TOG
20200301,1103,PM
20200301,665,TOG
20200307,1103,PM
20200307,665,TOG
20200401,1105,PM
20200401,818,TOG
20200402,1103,PM
20200402,818,TOG
20200403,1103,PM
20200403,818,TOG
20200407,1103,PM
20200407,818,TOG
20200501,1103,PM
20200501,818,TOG
20200701,1103,PM
20200701,719,TOG
20200702,1103,PM
20200702,719,TOG
20200705,1103,PM
20200705,719,TOG
20200706,1103,PM
20200706,719,TOG
20200714,1103,PM
20200714,719,TOG
20200801,1103,PM
20200801,719,TOG
20200802,1103,PM
20200802,719,TOG
20200901,1412,PM
20200901,5861,TOG
20200902,1412,PM
20200902,5861,TOG
20200907,1412,PM
20200907,586,TOG
20200909,1412,PM
20200909,5861,TOG
20200914,2204,PM
20200914,600,TOG
20200919,900,PM
20200919,600,TOG
20201001,1103,PM
20201001,719,TOG
20201002,1103,PM
20201002,719,TOG
20201003,1103,PM
20201003,719,TOG
20201005,1103,PM
20201005,719,TOG
20201012,1103,PM
20201012,4,TOG
20201013,1103,PM
20201013,719,TOG
20201101,1103,PM
20201101,719,TOG
20201601,1103,PM
20201601,585,TOG
20201602,1103,PM
20201602,585,TOG
20201607,1103,PM
20201607,665,TOG
20201609,1103,PM
20201609,600,TOG
20201701,1103,PM
20201701,665,TOG
20201702,1103,PM
20201702,665,TOG
20201707,1103,PM
20201707,665,TOG
20282002,900,PM
20282002,600,TOG
20282599,900,PM
20282599,600,TOG
20299901,1103,PM
20299901,600,TOG
20299902,1103,PM
20299902,600,TOG
20299997,1103,PM
20299997,719,TOG
20299998,1103,PM
20299998,9,TOG
20300101,1105,PM
20300101,818,TOG
20300102,1105,PM
20300102,818,TOG
20300107,1105,PM
20300107,818,TOG
20300201,1103,PM
20300201,719,TOG
20300202,1103,PM
20300202,719,TOG
20300203,1103,PM
20300203,719,TOG
20300204,1103,PM
20300204,719,TOG
20300253,900,PM
20300253,600,TOG
20300301,1103,PM
20300301,665,TOG
20300307,1103,PM
20300307,665,TOG
20300401,1105,PM
20300401,818,TOG
20300701,1103,PM
20300701,719,TOG
20300702,1103,PM
20300702,719,TOG
20300707,1103,PM
20300707,719,TOG
20300709,1103,PM
20300709,719,TOG
20300801,1103,PM
20300801,719,TOG
20300802,1103,PM
20300802,719,TOG
20300901,1412,PM
20300901,5861,TOG
20300902,900,PM
20300902,600,TOG
20301001,1103,PM
20301001,719,TOG
20301002,1103,PM
20301002,719,TOG
20301005,1103,PM
20301005,719,TOG
20301007,1103,PM
20301007,719,TOG
20382599,1103,PM
20382599,600,TOG
20399901,1103,PM
20399901,600,TOG
20399902,1103,PM
20399902,600,TOG
20399997,1103,PM
20399997,719,TOG
20400101,1412,PM
20400101,5861,TOG
20400102,4002,PM
20400102,413,TOG
20400110,1412,PM
20400110,5861,TOG
20400111,1412,PM
20400111,5861,TOG
20400112,1412,PM
20400112,5861,TOG
20400199,1412,PM
20400199,5861,TOG
20400201,132,PM
20400201,600,TOG
20400202,132,PM
20400202,600,TOG
20400301,1103,PM
20400301,719,TOG
20400302,1105,PM
20400302,9,TOG
20400305,1412,PM
20400305,5861,TOG
20400399,1412,PM
20400399,5861,TOG
20400401,1103,PM
20400401,665,TOG
20400402,1105,PM
20400402,818,TOG
20400403,1105,PM
20400403,9,TOG
20400404,1103,PM
20400404,719,TOG
20400406,1412,PM
20400406,586,TOG
20400409,1103,PM
20400409,719,TOG
20400499,1103,PM
20400499,719,TOG
20482599,1103,PM
20482599,1402,TOG
20499997,1103,PM
20499997,719,TOG
20499998,1103,PM
20499998,9,TOG
20499999,1103,PM
20499999,600,TOG
20504021,900,PM
20504021,600,TOG
20504034,900,PM
20504034,600,TOG
21000414,425,PM
21000414,600,TOG
21001001,900,PM
21001001,600,TOG
26500320,4002,PM
26500320,665,TOG
27000320,6189,PM
27000320,818,TOG
27300320,4002,PM
27300320,665,TOG
27501001,1415,PM
27501001,413,TOG
27501014,1412,PM
27501014,5861,TOG
27501015,1412,PM
27501015,5861,TOG
27502001,1415,PM
27502001,413,TOG
27502011,1412,PM
27502011,5861,TOG
27505001,1415,PM
27505001,413,TOG
27505011,1412,PM
27505011,5861,TOG
27601001,1415,PM
27601001,413,TOG
27601014,1412,PM
27601014,5861,TOG
27601015,1412,PM
27601015,5861,TOG
27602001,1415,PM
27602001,413,TOG
27602011,1412,PM
27602011,5861,TOG
27605001,1415,PM
27605001,413,TOG
27605011,1412,PM
27605011,5861,TOG
28000211,425,PM
28000211,818,TOG
28000212,425,PM
28000212,818,TOG
28000213,425,PM
28000213,818,TOG
28000216,425,PM
28000216,818,TOG
28000217,425,PM
28000217,818,TOG
28000218,425,PM
28000218,818,TOG
28500201,425,PM
28500201,818,TOG
28888002,900,PM
28888002,600,TOG
