0,CO,CO
0,NH3,NH3
31088804,331,PM
31088804,758,TOG
31088805,331,PM
31088805,758,TOG
31088811,331,PM
31088811,529,TOG
31090003,331,PM
31090003,758,TOG
31100101,371,PM
31100101,1411,TOG
31100102,371,PM
31100102,1411,TOG
31100103,371,PM
31100103,1411,TOG
31100199,371,PM
31100199,1411,TOG
31100202,371,PM
31100202,1411,TOG
31100204,371,PM
31100204,1411,TOG
31100206,371,PM
31100206,1411,TOG
31100299,371,PM
31100299,1411,TOG
31299999,90016,PM
31299999,1411,TOG
31300302,90016,PM
31300302,1403,TOG
31303001,900,PM
31303001,1403,TOG
31303061,90016,PM
31303061,1403,TOG
31303062,90016,PM
31303062,1403,TOG
31303063,2204,PM
31303063,1403,TOG
31303501,2204,PM
31303501,1403,TOG
31303502,2204,PM
31303502,1403,TOG
31306500,90016,PM
31306500,1403,TOG
31306501,900,PM
31306501,1403,TOG
31306502,2204,PM
31306502,600,TOG
31306505,90002,PM
31306505,1403,TOG
31306506,90016,PM
31306506,1403,TOG
31306510,2204,PM
31306510,1403,TOG
31306520,90002,PM
31306520,1403,TOG
31306530,90002,PM
31306530,1404,TOG
31306531,90016,PM
31306531,1403,TOG
31306599,900,PM
31306599,1403,TOG
31307001,90016,PM
31307001,122,TOG
31307002,90016,PM
31307002,122,TOG
31380001,900,PM
31380001,600,TOG
31382599,900,PM
31382599,600,TOG
31390001,112,PM
31390001,504,TOG
31390003,1102,PM
31390003,3,TOG
31399999,90016,PM
31399999,1403,TOG
31400414,900,PM
31400414,600,TOG
31400901,90016,PM
31400901,1403,TOG
31400902,2204,PM
31400902,1403,TOG
31400903,90016,PM
31400903,1403,TOG
31401001,90016,PM
31401001,122,TOG
31401002,90016,PM
31401002,122,TOG
31401101,90016,PM
31401101,1409,TOG
31401102,90016,PM
31401102,1410,TOG
31401201,90016,PM
31401201,1449,TOG
31401501,90016,PM
31401501,1403,TOG
31401510,2204,PM
31401510,1403,TOG
31401550,2204,PM
31401550,1403,TOG
31401552,2204,PM
31401552,1403,TOG
31401553,2204,PM
31401553,1403,TOG
31401560,2204,PM
31401560,1403,TOG
31401563,2204,PM
31401563,600,TOG
31401570,90016,PM
31401570,1403,TOG
31480001,2204,PM
31480001,600,TOG
31482599,90016,PM
31482599,1403,TOG
31499999,90016,PM
31499999,1403,TOG
31501002,90016,PM
31501002,1426,TOG
31502001,90016,PM
31502001,785,TOG
31502002,900,PM
31502002,768,TOG
31502003,900,PM
31502003,600,TOG
31502004,900,PM
31502004,600,TOG
31502088,2204,PM
31502088,1447,TOG
31502089,2204,PM
31502089,600,TOG
31502101,900,PM
31502101,600,TOG
31502102,900,PM
31502102,600,TOG
31502103,900,PM
31502103,600,TOG
31502104,900,PM
31502104,600,TOG
31503001,900,PM
31503001,1404,TOG
31503002,900,PM
31503002,1404,TOG
31503003,900,PM
31503003,600,TOG
31503102,900,PM
31503102,600,TOG
31505001,2204,PM
31505001,768,TOG
31505002,2204,PM
31505002,600,TOG
31505003,2204,PM
31505003,600,TOG
31604003,90002,PM
31604003,600,TOG
31605001,90002,PM
31605001,600,TOG
31606002,90002,PM
31606002,600,TOG
31700101,331,PM
31700101,757,TOG
31801001,1103,PM
31801001,562,TOG
32099998,90016,PM
32099998,1416,TOG
32099999,90016,PM
32099999,1416,TOG
33000101,2204,PM
33000101,1416,TOG
33000102,90016,PM
33000102,600,TOG
33000106,311,PM
33000106,1404,TOG
33000198,90016,PM
33000198,600,TOG
33000199,90016,PM
33000199,600,TOG
33000201,90016,PM
33000201,1416,TOG
33000202,2203,PM
33000202,1416,TOG
33000203,900,PM
33000203,1416,TOG
33000211,2203,PM
33000211,1416,TOG
33000288,900,PM
33000288,600,TOG
33000298,90016,PM
33000298,1416,TOG
33000299,90016,PM
33000299,1416,TOG
33000301,2204,PM
33000301,1416,TOG
33000302,90016,PM
33000302,1416,TOG
33000304,90016,PM
33000304,1416,TOG
33000305,90016,PM
33000305,1416,TOG
33000306,90016,PM
33000306,1416,TOG
33000307,90016,PM
33000307,1416,TOG
33000399,90016,PM
33000399,1416,TOG
33000499,90016,PM
33000499,1416,TOG
33088801,90016,PM
33088801,1416,TOG
33088802,90016,PM
33088802,1416,TOG
33088803,311,PM
33088803,1404,TOG
33088805,311,PM
33088805,1404,TOG
35002001,900,PM
35002001,600,TOG
36000101,90016,PM
36000101,600,TOG
36000102,2203,PM
36000102,517,TOG
38290308,2204,PM
38290308,221,TOG
38500101,900,PM
38500101,1430,TOG
38500102,900,PM
38500102,1430,TOG
38500110,900,PM
38500110,1430,TOG
38500120,2204,PM
38500120,1403,TOG
38500201,900,PM
38500201,600,TOG
38600210,900,PM
38600210,1430,TOG
39000199,131,PM
39000199,535,TOG
39000201,131,PM
39000201,535,TOG
39000289,131,PM
39000289,535,TOG
39000299,131,PM
39000299,535,TOG
39000399,131,PM
39000399,535,TOG
39000401,1104,PM
39000401,504,TOG
39000402,1104,PM
39000402,504,TOG
39000403,1104,PM
39000403,504,TOG
39000405,1104,PM
39000405,504,TOG
39000408,1104,PM
39000408,504,TOG
39000409,1104,PM
39000409,504,TOG
39000430,1104,PM
39000430,504,TOG
39000489,425,PM
39000489,9,TOG
39000499,1104,PM
39000499,504,TOG
39000501,112,PM
39000501,504,TOG
39000502,112,PM
39000502,504,TOG
39000503,112,PM
39000503,504,TOG
39000505,112,PM
39000505,504,TOG
39000506,112,PM
39000506,504,TOG
39000507,112,PM
39000507,504,TOG
39000508,112,PM
39000508,504,TOG
39000509,112,PM
39000509,504,TOG
39000511,112,PM
39000511,504,TOG
39000530,112,PM
39000530,504,TOG
39000531,112,PM
39000531,504,TOG
39000532,112,PM
39000532,504,TOG
39000551,112,PM
39000551,504,TOG
39000589,112,PM
39000589,504,TOG
39000598,112,PM
39000598,504,TOG
39000599,112,PM
39000599,504,TOG
39000601,1103,PM
39000601,3,TOG
39000602,1103,PM
39000602,3,TOG
39000603,1103,PM
39000603,3,TOG
39000604,1103,PM
39000604,3,TOG
39000605,1103,PM
39000605,3,TOG
39000606,1103,PM
39000606,3,TOG
39000607,1103,PM
39000607,3,TOG
39000608,1103,PM
39000608,3,TOG
39000609,1103,PM
39000609,3,TOG
39000611,1103,PM
39000611,3,TOG
39000630,1103,PM
39000630,3,TOG
39000631,1103,PM
39000631,3,TOG
39000632,1103,PM
39000632,3,TOG
39000651,1103,PM
39000651,3,TOG
39000652,1103,PM
39000652,3,TOG
39000689,1103,PM
39000689,3,TOG
39000698,900,PM
39000698,600,TOG
39000699,1103,PM
39000699,3,TOG
39000700,2204,PM
39000700,600,TOG
39000701,1103,PM
39000701,217,TOG
39000702,1103,PM
39000702,5,TOG
39000788,1103,PM
39000788,4,TOG
39000797,1103,PM
39000797,4,TOG
39000798,1103,PM
39000798,4,TOG
39000799,1103,PM
39000799,4,TOG
39000800,900,PM
39000800,600,TOG
39000801,131,PM
39000801,5,TOG
39000889,131,PM
39000889,5,TOG
39000899,131,PM
39000899,5,TOG
39000989,133,PM
39000989,549,TOG
39000999,133,PM
39000999,549,TOG
39001089,1103,PM
39001089,4,TOG
39001099,1103,PM
39001099,4,TOG
39001299,462,PM
39001299,600,TOG
39001389,110,PM
39001389,504,TOG
39001399,110,PM
39001399,504,TOG
39005599,900,PM
39005599,600,TOG
39090001,2204,PM
39090001,297,TOG
39090002,2204,PM
39090002,297,TOG
39090003,112,PM
39090003,504,TOG
39090004,2204,PM
39090004,504,TOG
39092050,1103,PM
39092050,3,TOG
39092051,1103,PM
39092051,4,TOG
39099997,1103,PM
39099997,3,TOG
39099998,110,PM
39099998,504,TOG
39099999,462,PM
39099999,600,TOG
39900501,112,PM
39900501,504,TOG
39900601,1103,PM
39900601,3,TOG
39900701,1102,PM
39900701,4,TOG
39900721,1102,PM
39900721,4,TOG
39900801,1102,PM
39900801,3,TOG
39901001,1103,PM
39901001,4,TOG
39902051,90016,PM
39902051,1403,TOG
39902054,90016,PM
39902054,1403,TOG
39990001,112,PM
39990001,504,TOG
39990003,1102,PM
39990003,3,TOG
39990004,1102,PM
39990004,4,TOG
39990011,161,PM
39990011,122,TOG
39990013,162,PM
39990013,122,TOG
39990014,162,PM
39990014,122,TOG
39990021,161,PM
39990021,51,TOG
39990022,161,PM
39990022,51,TOG
39990023,162,PM
39990023,51,TOG
39990024,162,PM
39990024,51,TOG
39999991,2204,PM
39999991,1403,TOG
39999992,2204,PM
39999992,1403,TOG
39999993,90016,PM
39999993,1403,TOG
39999994,90016,PM
39999994,1403,TOG
39999995,90016,PM
39999995,1403,TOG
39999996,90016,PM
39999996,1403,TOG
39999998,90016,PM
39999998,1403,TOG
39999999,90016,PM
39999999,1403,TOG
40100101,2204,PM
40100101,85,TOG
40100102,2204,PM
40100102,86,TOG
40100103,2204,PM
40100103,85,TOG
40100104,2204,PM
40100104,86,TOG
40100105,2204,PM
40100105,768,TOG
40100146,2204,PM
40100146,86,TOG
40100147,2204,PM
40100147,86,TOG
40100198,2204,PM
40100198,515,TOG
40100199,2204,PM
40100199,516,TOG
40100201,2204,PM
40100201,86,TOG
40100202,2204,PM
40100202,87,TOG
40100203,2204,PM
40100203,85,TOG
40100204,2204,PM
40100204,524,TOG
40100205,2204,PM
40100205,271,TOG
40100206,2204,PM
40100206,90,TOG
40100207,2204,PM
40100207,755,TOG
40100209,2204,PM
40100209,774,TOG
40100221,2204,PM
40100221,86,TOG
40100222,2204,PM
40100222,87,TOG
40100223,2204,PM
40100223,85,TOG
40100224,2204,PM
40100224,524,TOG
40100225,2204,PM
40100225,271,TOG
40100235,2204,PM
40100235,931,TOG
40100251,2204,PM
40100251,86,TOG
40100252,2204,PM
40100252,87,TOG
40100253,2204,PM
40100253,85,TOG
40100254,2204,PM
40100254,524,TOG
40100255,2204,PM
40100255,271,TOG
40100256,2204,PM
40100256,90,TOG
40100257,2204,PM
40100257,755,TOG
40100258,2204,PM
40100258,767,TOG
40100259,2204,PM
40100259,87,TOG
40100260,90016,PM
40100260,600,TOG
40100295,2204,PM
40100295,515,TOG
40100296,2204,PM
40100296,515,TOG
40100297,2204,PM
40100297,515,TOG
40100298,2204,PM
40100298,515,TOG
40100299,2204,PM
40100299,515,TOG
40100301,2204,PM
40100301,786,TOG
40100302,2204,PM
40100302,524,TOG
40100303,2204,PM
40100303,802,TOG
40100304,2204,PM
40100304,85,TOG
40100305,2204,PM
40100305,87,TOG
40100306,2204,PM
40100306,271,TOG
40100307,2204,PM
40100307,227,TOG
40100308,2204,PM
40100308,221,TOG
40100309,2204,PM
40100309,768,TOG
40100310,2204,PM
40100310,219,TOG
40100311,2204,PM
40100311,1436,TOG
40100312,2203,PM
40100312,600,TOG
40100335,2204,PM
40100335,515,TOG
40100336,2204,PM
40100336,515,TOG
40100398,2204,PM
40100398,515,TOG
40100399,2204,PM
40100399,515,TOG
40100401,2204,PM
40100401,85,TOG
40100499,2204,PM
40100499,515,TOG
40100501,2204,PM
40100501,515,TOG
40100550,2204,PM
40100550,1417,TOG
40100927,2204,PM
40100927,85,TOG
40101210,900,PM
40101210,600,TOG
40188801,2204,PM
40188801,1417,TOG
40188802,2204,PM
40188802,1417,TOG
40188803,2204,PM
40188803,1417,TOG
40188898,2204,PM
40188898,1417,TOG
40199999,2204,PM
40199999,600,TOG
40200101,2203,PM
40200101,783,TOG
40200102,2204,PM
40200102,219,TOG
40200103,2204,PM
40200103,220,TOG
40200104,2204,PM
40200104,221,TOG
40200105,2204,PM
40200105,90,TOG
40200106,2203,PM
40200106,783,TOG
40200110,2201,PM
40200110,196,TOG
40200199,2203,PM
40200199,783,TOG
40200201,2202,PM
40200201,717,TOG
40200210,2202,PM
40200210,717,TOG
40200218,2203,PM
40200218,1901,TOG
40200301,2203,PM
40200301,127,TOG
40200302,2203,PM
40200302,219,TOG
40200304,2204,PM
40200304,90,TOG
40200305,2204,PM
40200305,223,TOG
40200310,2203,PM
40200310,127,TOG
40200399,2204,PM
40200399,127,TOG
40200401,2203,PM
40200401,711,TOG
40200402,2204,PM
40200402,219,TOG
40200403,2204,PM
40200403,220,TOG
40200404,2204,PM
40200404,227,TOG
40200405,2204,PM
40200405,221,TOG
40200406,2204,PM
40200406,90,TOG
40200407,2204,PM
40200407,223,TOG
40200410,2203,PM
40200410,711,TOG
40200499,2203,PM
40200499,711,TOG
40200501,2203,PM
40200501,712,TOG
40200502,2203,PM
40200502,222,TOG
40200503,2204,PM
40200503,221,TOG
40200504,2204,PM
40200504,90,TOG
40200505,2204,PM
40200505,223,TOG
40200510,2203,PM
40200510,712,TOG
40200599,2204,PM
40200599,712,TOG
40200601,2203,PM
40200601,713,TOG
40200602,2204,PM
40200602,802,TOG
40200603,2204,PM
40200603,223,TOG
40200604,2204,PM
40200604,802,TOG
40200605,2204,PM
40200605,90,TOG
40200610,2203,PM
40200610,713,TOG
40200699,2204,PM
40200699,713,TOG
40200701,2204,PM
40200701,714,TOG
40200702,2204,PM
40200702,221,TOG
40200703,2204,PM
40200703,90,TOG
40200705,2204,PM
40200705,802,TOG
40200706,2204,PM
40200706,714,TOG
40200710,2204,PM
40200710,714,TOG
40200711,2203,PM
40200711,714,TOG
40200712,2202,PM
40200712,717,TOG
40200799,2204,PM
40200799,714,TOG
40200801,2203,PM
40200801,783,TOG
40200802,2203,PM
40200802,783,TOG
40200803,2203,PM
40200803,783,TOG
40200810,2203,PM
40200810,783,TOG
40200820,2203,PM
40200820,783,TOG
40200830,2203,PM
40200830,783,TOG
40200840,2204,PM
40200840,1580,TOG
40200870,2203,PM
40200870,783,TOG
40200872,2203,PM
40200872,783,TOG
40200898,2203,PM
40200898,783,TOG
40200899,2203,PM
40200899,783,TOG
40200901,2204,PM
40200901,96,TOG
40200902,2204,PM
40200902,219,TOG
40200903,2204,PM
40200903,774,TOG
40200904,2204,PM
40200904,289,TOG
40200906,2204,PM
40200906,290,TOG
40200907,2204,PM
40200907,222,TOG
40200908,2204,PM
40200908,789,TOG
40200909,2204,PM
40200909,220,TOG
40200910,2204,PM
40200910,226,TOG
40200911,2204,PM
40200911,691,TOG
40200912,2204,PM
40200912,227,TOG
40200913,2204,PM
40200913,228,TOG
40200914,2204,PM
40200914,100,TOG
40200915,2204,PM
40200915,802,TOG
40200916,2204,PM
40200916,790,TOG
40200917,2204,PM
40200917,786,TOG
40200918,2204,PM
40200918,221,TOG
40200919,2204,PM
40200919,778,TOG
40200920,2204,PM
40200920,802,TOG
40200921,2204,PM
40200921,802,TOG
40200922,2204,PM
40200922,90,TOG
40200923,2204,PM
40200923,600,TOG
40200924,2204,PM
40200924,223,TOG
40200925,2204,PM
40200925,298,TOG
40200926,2204,PM
40200926,1930,TOG
40200927,2204,PM
40200927,782,TOG
40200928,2204,PM
40200928,785,TOG
40200929,2204,PM
40200929,87,TOG
40200930,2204,PM
40200930,524,TOG
40200931,2204,PM
40200931,85,TOG
40200932,2203,PM
40200932,1901,TOG
40200933,2203,PM
40200933,1901,TOG
40200998,2204,PM
40200998,96,TOG
40201001,1102,PM
40201001,3,TOG
40201002,112,PM
40201002,504,TOG
40201003,1104,PM
40201003,504,TOG
40201004,1102,PM
40201004,4,TOG
40201101,2203,PM
40201101,783,TOG
40201103,2203,PM
40201103,783,TOG
40201104,2203,PM
40201104,783,TOG
40201105,2203,PM
40201105,1930,TOG
40201111,2204,PM
40201111,783,TOG
40201113,2204,PM
40201113,783,TOG
40201114,2203,PM
40201114,783,TOG
40201115,2203,PM
40201115,783,TOG
40201116,2203,PM
40201116,783,TOG
40201199,2203,PM
40201199,783,TOG
40201201,2204,PM
40201201,783,TOG
40201210,2204,PM
40201210,783,TOG
40201301,2203,PM
40201301,783,TOG
40201303,2203,PM
40201303,783,TOG
40201304,900,PM
40201304,783,TOG
40201305,2203,PM
40201305,783,TOG
40201330,2203,PM
40201330,783,TOG
40201399,2203,PM
40201399,783,TOG
40201401,2203,PM
40201401,713,TOG
40201402,2203,PM
40201402,783,TOG
40201403,2204,PM
40201403,600,TOG
40201405,2203,PM
40201405,783,TOG
40201406,2203,PM
40201406,783,TOG
40201431,2203,PM
40201431,783,TOG
40201433,2203,PM
40201433,783,TOG
40201499,2203,PM
40201499,783,TOG
40201501,2203,PM
40201501,783,TOG
40201502,2204,PM
40201502,1930,TOG
40201505,2204,PM
40201505,1930,TOG
40201531,2203,PM
40201531,783,TOG
40201599,90016,PM
40201599,1403,TOG
40201601,2203,PM
40201601,783,TOG
40201602,2204,PM
40201602,1930,TOG
40201603,2203,PM
40201603,783,TOG
40201605,2204,PM
40201605,1930,TOG
40201606,2203,PM
40201606,783,TOG
40201607,2204,PM
40201607,783,TOG
40201608,2203,PM
40201608,783,TOG
40201609,2203,PM
40201609,713,TOG
40201619,2203,PM
40201619,713,TOG
40201620,2203,PM
40201620,783,TOG
40201621,2203,PM
40201621,713,TOG
40201622,2203,PM
40201622,713,TOG
40201625,2203,PM
40201625,783,TOG
40201626,2204,PM
40201626,783,TOG
40201627,2203,PM
40201627,783,TOG
40201631,2203,PM
40201631,783,TOG
40201699,2203,PM
40201699,783,TOG
40201702,2203,PM
40201702,783,TOG
40201703,2203,PM
40201703,783,TOG
40201704,2203,PM
40201704,783,TOG
40201705,2204,PM
40201705,600,TOG
40201721,2203,PM
40201721,783,TOG
40201722,2203,PM
40201722,783,TOG
40201723,2203,PM
40201723,783,TOG
40201724,2203,PM
40201724,783,TOG
40201725,2203,PM
40201725,783,TOG
40201726,2203,PM
40201726,783,TOG
40201727,2203,PM
40201727,304,TOG
40201728,2203,PM
40201728,783,TOG
40201729,2203,PM
40201729,783,TOG
40201731,2203,PM
40201731,783,TOG
40201733,2203,PM
40201733,783,TOG
40201735,2203,PM
40201735,783,TOG
40201736,2203,PM
40201736,783,TOG
40201799,2203,PM
40201799,783,TOG
40201801,2203,PM
40201801,713,TOG
40201802,2204,PM
40201802,783,TOG
40201803,2203,PM
40201803,783,TOG
40201805,2203,PM
40201805,783,TOG
40201806,2203,PM
40201806,783,TOG
40201807,2203,PM
40201807,783,TOG
40201899,2203,PM
40201899,783,TOG
40201901,2203,PM
40201901,783,TOG
40201903,2203,PM
40201903,783,TOG
40201904,2203,PM
40201904,783,TOG
40201999,2203,PM
40201999,783,TOG
40202001,2203,PM
40202001,783,TOG
40202002,2203,PM
40202002,783,TOG
40202003,2203,PM
40202003,783,TOG
40202005,2203,PM
40202005,783,TOG
40202031,2203,PM
40202031,783,TOG
40202099,2203,PM
40202099,783,TOG
40202101,2203,PM
40202101,783,TOG
40202103,2203,PM
40202103,783,TOG
40202105,2203,PM
40202105,783,TOG
40202106,2203,PM
40202106,783,TOG
40202107,2203,PM
40202107,783,TOG
40202108,2203,PM
40202108,783,TOG
40202109,2203,PM
40202109,783,TOG
40202111,2203,PM
40202111,783,TOG
40202131,2203,PM
40202131,717,TOG
40202132,2203,PM
40202132,783,TOG
40202136,2203,PM
40202136,783,TOG
40202140,2203,PM
40202140,783,TOG
40202199,2203,PM
40202199,783,TOG
40202201,2203,PM
40202201,783,TOG
40202202,2203,PM
40202202,783,TOG
40202203,2203,PM
40202203,783,TOG
40202204,2203,PM
40202204,783,TOG
40202205,2203,PM
40202205,783,TOG
40202211,2203,PM
40202211,717,TOG
40202213,2203,PM
40202213,783,TOG
40202220,2203,PM
40202220,713,TOG
40202240,2203,PM
40202240,783,TOG
40202280,2203,PM
40202280,783,TOG
40202299,2203,PM
40202299,783,TOG
40202301,2203,PM
40202301,713,TOG
40202302,2203,PM
40202302,783,TOG
40202303,2203,PM
40202303,783,TOG
40202305,2203,PM
40202305,783,TOG
40202306,2203,PM
40202306,783,TOG
40202399,2203,PM
40202399,783,TOG
40202401,2203,PM
40202401,713,TOG
40202402,2203,PM
40202402,783,TOG
40202403,2203,PM
40202403,783,TOG
40202405,2203,PM
40202405,783,TOG
40202406,2203,PM
40202406,783,TOG
40202498,2204,PM
40202498,783,TOG
40202499,2203,PM
40202499,783,TOG
40202501,2203,PM
40202501,783,TOG
40202502,2203,PM
40202502,783,TOG
40202503,2203,PM
40202503,783,TOG
40202505,2203,PM
40202505,783,TOG
40202510,2203,PM
40202510,713,TOG
40202512,2203,PM
40202512,713,TOG
40202520,2203,PM
40202520,783,TOG
40202523,2203,PM
40202523,783,TOG
40202532,2203,PM
40202532,783,TOG
40202546,2204,PM
40202546,515,TOG
40202599,2203,PM
40202599,783,TOG
40202601,2203,PM
40202601,783,TOG
40202602,900,PM
40202602,1930,TOG
40202603,2203,PM
40202603,783,TOG
40202605,2203,PM
40202605,783,TOG
40202606,2203,PM
40202606,783,TOG
40202607,2203,PM
40202607,783,TOG
40202699,2203,PM
40202699,783,TOG
40202701,2203,PM
40202701,783,TOG
40202710,2203,PM
40202710,783,TOG
40202801,2203,PM
40202801,783,TOG
40203001,2203,PM
40203001,506,TOG
40204435,2203,PM
40204435,783,TOG
40206010,2203,PM
40206010,783,TOG
40282001,2203,PM
40282001,783,TOG
40288801,2203,PM
40288801,1421,TOG
40288802,2203,PM
40288802,1421,TOG
40288803,2203,PM
40288803,1421,TOG
40288805,2203,PM
40288805,1421,TOG
40288821,2203,PM
40288821,783,TOG
40288822,2203,PM
40288822,783,TOG
40288824,2203,PM
40288824,1930,TOG
40290011,161,PM
40290011,122,TOG
40290013,162,PM
40290013,122,TOG
40290023,1103,PM
40290023,51,TOG
40299906,2204,PM
40299906,1421,TOG
40299995,2204,PM
40299995,600,TOG
40299996,2204,PM
40299996,600,TOG
40299997,2204,PM
40299997,515,TOG
40299998,2204,PM
40299998,600,TOG
40299999,2204,PM
40299999,1421,TOG
40300101,2204,PM
40300101,691,TOG
40300102,2204,PM
40300102,297,TOG
40300103,2204,PM
40300103,691,TOG
40300104,2204,PM
40300104,297,TOG
40300105,2204,PM
40300105,100,TOG
40300106,2204,PM
40300106,100,TOG
40300107,2204,PM
40300107,760,TOG
40300108,2204,PM
40300108,298,TOG
40300109,2204,PM
40300109,299,TOG
40300111,2204,PM
40300111,301,TOG
40300112,2204,PM
40300112,230,TOG
40300114,2204,PM
40300114,303,TOG
40300115,2204,PM
40300115,303,TOG
40300116,2204,PM
40300116,90,TOG
40300150,2204,PM
40300150,100,TOG
40300151,2204,PM
40300151,100,TOG
40300152,2204,PM
40300152,760,TOG
40300153,2204,PM
40300153,298,TOG
40300154,2204,PM
40300154,299,TOG
40300156,2204,PM
40300156,301,TOG
40300157,2204,PM
40300157,230,TOG
40300159,2204,PM
40300159,303,TOG
40300161,2204,PM
40300161,90,TOG
40300198,2204,PM
40300198,297,TOG
40300199,2204,PM
40300199,297,TOG
40300201,2204,PM
40300201,691,TOG
40300202,2204,PM
40300202,691,TOG
40300203,2204,PM
40300203,297,TOG
40300204,2204,PM
40300204,297,TOG
40300205,2204,PM
40300205,100,TOG
40300206,2204,PM
40300206,100,TOG
40300207,2204,PM
40300207,760,TOG
40300208,2204,PM
40300208,298,TOG
40300212,2204,PM
40300212,230,TOG
40300215,2204,PM
40300215,303,TOG
40300216,2204,PM
40300216,90,TOG
40300299,2204,PM
40300299,297,TOG
40300302,2204,PM
40300302,691,TOG
40300303,2204,PM
40300303,100,TOG
40300304,2204,PM
40300304,100,TOG
40300305,2204,PM
40300305,760,TOG
40300306,2204,PM
40300306,298,TOG
40300312,2204,PM
40300312,303,TOG
40300314,2204,PM
40300314,90,TOG
40300399,2204,PM
40300399,297,TOG
40301001,2204,PM
40301001,695,TOG
40301002,2204,PM
40301002,695,TOG
40301003,2204,PM
40301003,691,TOG
40301004,2204,PM
40301004,695,TOG
40301005,2204,PM
40301005,695,TOG
40301006,2204,PM
40301006,691,TOG
40301007,2204,PM
40301007,695,TOG
40301008,2204,PM
40301008,695,TOG
40301009,2204,PM
40301009,691,TOG
40301010,2204,PM
40301010,297,TOG
40301011,2204,PM
40301011,297,TOG
40301012,2204,PM
40301012,297,TOG
40301013,2204,PM
40301013,563,TOG
40301014,2204,PM
40301014,100,TOG
40301015,2204,PM
40301015,563,TOG
40301016,2204,PM
40301016,100,TOG
40301017,2204,PM
40301017,100,TOG
40301018,2204,PM
40301018,100,TOG
40301019,2204,PM
40301019,760,TOG
40301020,2204,PM
40301020,760,TOG
40301021,2204,PM
40301021,760,TOG
40301022,2204,PM
40301022,715,TOG
40301023,2204,PM
40301023,715,TOG
40301024,2204,PM
40301024,715,TOG
40301025,2204,PM
40301025,715,TOG
40301027,2204,PM
40301027,760,TOG
40301028,2204,PM
40301028,760,TOG
40301068,2204,PM
40301068,760,TOG
40301075,2204,PM
40301075,297,TOG
40301077,2204,PM
40301077,760,TOG
40301078,2204,PM
40301078,760,TOG
40301079,2204,PM
40301079,760,TOG
40301097,2204,PM
40301097,297,TOG
40301098,2204,PM
40301098,297,TOG
40301099,2204,PM
40301099,297,TOG
40301101,2204,PM
40301101,695,TOG
40301102,2204,PM
40301102,695,TOG
40301103,2204,PM
40301103,691,TOG
40301104,2204,PM
40301104,695,TOG
40301105,2204,PM
40301105,695,TOG
40301106,2204,PM
40301106,691,TOG
40301107,2204,PM
40301107,691,TOG
40301108,2204,PM
40301108,691,TOG
40301109,2204,PM
40301109,297,TOG
40301110,2204,PM
40301110,297,TOG
40301111,2204,PM
40301111,563,TOG
40301112,2204,PM
40301112,563,TOG
40301113,2204,PM
40301113,100,TOG
40301114,2204,PM
40301114,100,TOG
40301115,2204,PM
40301115,760,TOG
40301116,2204,PM
40301116,760,TOG
40301117,2204,PM
40301117,297,TOG
40301118,2204,PM
40301118,100,TOG
40301119,2204,PM
40301119,100,TOG
40301120,2204,PM
40301120,760,TOG
40301125,2204,PM
40301125,760,TOG
40301130,2204,PM
40301130,297,TOG
40301131,2204,PM
40301131,691,TOG
40301132,2204,PM
40301132,297,TOG
40301133,2204,PM
40301133,100,TOG
40301134,2204,PM
40301134,100,TOG
40301135,900,PM
40301135,760,TOG
40301140,2204,PM
40301140,297,TOG
40301141,2204,PM
40301141,691,TOG
40301142,2204,PM
40301142,297,TOG
40301143,2204,PM
40301143,563,TOG
40301144,2204,PM
40301144,100,TOG
40301145,2204,PM
40301145,760,TOG
40301150,2204,PM
40301150,297,TOG
40301151,2204,PM
40301151,297,TOG
40301152,2204,PM
40301152,297,TOG
40301153,2204,PM
40301153,563,TOG
40301154,2204,PM
40301154,100,TOG
40301155,2204,PM
40301155,760,TOG
40301175,2204,PM
40301175,297,TOG
40301178,2204,PM
40301178,760,TOG
40301180,2204,PM
40301180,695,TOG
40301181,2204,PM
40301181,695,TOG
40301182,2204,PM
40301182,691,TOG
40301197,2204,PM
40301197,297,TOG
40301198,2204,PM
40301198,297,TOG
40301199,2204,PM
40301199,297,TOG
40301201,2204,PM
40301201,695,TOG
40301202,2204,PM
40301202,695,TOG
40301203,2204,PM
40301203,691,TOG
40301204,2204,PM
40301204,563,TOG
40301205,2204,PM
40301205,100,TOG
40301206,2204,PM
40301206,760,TOG
40301207,2204,PM
40301207,298,TOG
40301299,2204,PM
40301299,297,TOG
40388801,2204,PM
40388801,297,TOG
40388802,2204,PM
40388802,297,TOG
40388803,2204,PM
40388803,600,TOG
40388804,2204,PM
40388804,600,TOG
40388805,2204,PM
40388805,297,TOG
40388806,2204,PM
40388806,760,TOG
40388807,2204,PM
40388807,297,TOG
40388808,2204,PM
40388808,297,TOG
40399999,2204,PM
40399999,297,TOG
40400101,2204,PM
40400101,695,TOG
40400102,2204,PM
40400102,695,TOG
40400103,2204,PM
40400103,691,TOG
40400104,2204,PM
40400104,695,TOG
40400106,2204,PM
40400106,691,TOG
40400107,2204,PM
40400107,695,TOG
40400108,2204,PM
40400108,695,TOG
40400109,2204,PM
40400109,691,TOG
40400110,2204,PM
40400110,695,TOG
40400111,2204,PM
40400111,695,TOG
40400112,2204,PM
40400112,691,TOG
40400113,2204,PM
40400113,695,TOG
40400114,2204,PM
40400114,695,TOG
