0,PM10,PM10
0,PM25,PM25
0,DPM10,DPM10
0,DPM25,DPM25
0,CO,CO
0,NH3,NH3
0,SOX,SOX
0,DEFNOX,NOX
73071411000000,2317,TOG
73071611000000,4002,PM
73071611000000,665,TOG
73071802480000,472,PM
73071802480000,600,TOG
73073411000000,4001,PM
73073411000000,2304,TOG
73073611000000,2204,PM
73073611000000,2315,TOG
73073811000000,2204,PM
73073811000000,2317,TOG
73074011000000,2204,PM
73074011000000,2315,TOG
73074211000000,2204,PM
73074211000000,2317,TOG
73074402480000,472,PM
73074402480000,600,TOG
73270111000000,4002,PM
73270111000000,666,TOG
73270611000000,4002,PM
73270611000000,665,TOG
73270711000000,4002,PM
73270711000000,665,TOG
73270811000000,2204,PM
73270811000000,2315,TOG
73271011000000,2204,PM
73271011000000,2317,TOG
73271211000000,2204,PM
73271211000000,2315,TOG
73271411000000,2204,PM
73271411000000,2317,TOG
73271611000000,4002,PM
73271611000000,665,TOG
73271802480000,472,PM
73271802480000,600,TOG
73272054100000,473,PM
73272054100000,600,TOG
73273111000000,4001,PM
73273111000000,2302,TOG
73273411000000,4001,PM
73273411000000,2304,TOG
73273511000000,4001,PM
73273511000000,2304,TOG
73273611000000,2204,PM
73273611000000,2315,TOG
73273811000000,2204,PM
73273811000000,2317,TOG
73274011000000,2204,PM
73274011000000,2315,TOG
73274211000000,2204,PM
73274211000000,2317,TOG
73274402480000,472,PM
73274402480000,600,TOG
73274654100000,473,PM
73274654100000,600,TOG
73370111000000,4002,PM
73370111000000,666,TOG
73370611000000,4002,PM
73370611000000,665,TOG
73370711000000,4002,PM
73370711000000,665,TOG
73370811000000,2204,PM
73370811000000,2315,TOG
73371011000000,2204,PM
73371011000000,2317,TOG
73371211000000,2204,PM
73371211000000,2315,TOG
73371411000000,2204,PM
73371411000000,2317,TOG
73371611000000,4002,PM
73371611000000,665,TOG
73371802480000,472,PM
73371802480000,600,TOG
73372054100000,473,PM
73372054100000,600,TOG
73373111000000,4001,PM
73373111000000,2302,TOG
73373411000000,4001,PM
73373411000000,2304,TOG
73373511000000,4001,PM
73373511000000,2304,TOG
73373611000000,2204,PM
73373611000000,2315,TOG
73373811000000,2204,PM
73373811000000,2317,TOG
73374011000000,2204,PM
73374011000000,2315,TOG
73374211000000,2204,PM
73374211000000,2317,TOG
73374402480000,472,PM
73374402480000,600,TOG
73374654100000,473,PM
73374654100000,600,TOG
73470111000000,4002,PM
73470111000000,666,TOG
73470611000000,4002,PM
73470611000000,665,TOG
73470711000000,4002,PM
73470711000000,665,TOG
73470811000000,2204,PM
73470811000000,2315,TOG
73471011000000,2204,PM
73471011000000,2317,TOG
73471211000000,2204,PM
73471211000000,2315,TOG
73471411000000,2204,PM
73471411000000,2317,TOG
73471611000000,4002,PM
73471611000000,665,TOG
73471802480000,472,PM
73471802480000,600,TOG
73472054100000,473,PM
73472054100000,600,TOG
73473111000000,4001,PM
73473111000000,2302,TOG
73473411000000,4001,PM
73473411000000,2304,TOG
73473511000000,4001,PM
73473511000000,2304,TOG
73473611000000,2204,PM
73473611000000,2315,TOG
73473811000000,2204,PM
73473811000000,2317,TOG
73474011000000,2204,PM
73474011000000,2315,TOG
73474211000000,2204,PM
73474211000000,2317,TOG
73474402480000,472,PM
73474402480000,600,TOG
73474654100000,473,PM
73474654100000,600,TOG
73670111000000,4002,PM
73670111000000,666,TOG
73670611000000,4002,PM
73670611000000,665,TOG
73670711000000,4002,PM
73670711000000,665,TOG
73670811000000,2204,PM
73670811000000,2315,TOG
73671011000000,2204,PM
73671011000000,2317,TOG
73671211000000,2204,PM
73671211000000,2315,TOG
73671411000000,2204,PM
73671411000000,2317,TOG
73671611000000,4002,PM
73671611000000,665,TOG
73671802480000,472,PM
73671802480000,600,TOG
73672054100000,473,PM
73672054100000,600,TOG
73673111000000,4001,PM
73673111000000,2302,TOG
73673411000000,4001,PM
73673411000000,2304,TOG
73673511000000,4001,PM
73673511000000,2304,TOG
73673611000000,2204,PM
73673611000000,2315,TOG
73673811000000,2204,PM
73673811000000,2317,TOG
73674011000000,2204,PM
73674011000000,2315,TOG
73674211000000,2204,PM
73674211000000,2317,TOG
73674402480000,472,PM
73674402480000,600,TOG
73674654100000,473,PM
73674654100000,600,TOG
74076412100000,425,PM
74076412100000,818,TOG
74076602480000,472,PM
74076602480000,600,TOG
74276112100000,425,PM
74276112100000,818,TOG
74276412100000,425,PM
74276412100000,818,TOG
74276512100000,425,PM
74276512100000,818,TOG
74276602480000,472,PM
74276602480000,600,TOG
74276854100000,473,PM
74276854100000,600,TOG
74376112100000,425,PM
74376112100000,818,TOG
74376412100000,425,PM
74376412100000,818,TOG
74376512100000,425,PM
74376512100000,818,TOG
74376602480000,472,PM
74376602480000,600,TOG
74376854100000,473,PM
74376854100000,600,TOG
74476112100000,425,PM
74476112100000,818,TOG
74476112107000,425,PM
74476112107000,818,TOG
74476112107001,425,PM
74476112107001,818,TOG
74476112107004,425,PM
74476112107004,818,TOG
74476112107005,425,PM
74476112107005,818,TOG
74476112107006,425,PM
74476112107006,818,TOG
74476112107007,425,PM
74476112107007,818,TOG
74476112107008,425,PM
74476112107008,818,TOG
74476112107009,425,PM
74476112107009,818,TOG
74476112107010,425,PM
74476112107010,818,TOG
74476112107011,425,PM
74476112107011,818,TOG
74476112107012,425,PM
74476112107012,818,TOG
74476412100000,425,PM
74476412100000,818,TOG
74476412107000,7122,PM
74476412107000,818,TOG
74476412107001,7122,PM
74476412107001,818,TOG
74476412107004,7122,PM
74476412107004,818,TOG
74476412107005,7122,PM
74476412107005,818,TOG
74476412107006,7122,PM
74476412107006,818,TOG
74476412107007,7122,PM
74476412107007,818,TOG
74476412107008,7122,PM
74476412107008,818,TOG
74476412107009,7122,PM
74476412107009,818,TOG
74476412107010,7122,PM
74476412107010,818,TOG
74476412107011,7123,PM
74476412107011,818,TOG
74476412107012,7123,PM
74476412107012,818,TOG
74476512100000,425,PM
74476512100000,818,TOG
74476512107000,7121,PM
74476512107000,818,TOG
74476512107001,7121,PM
74476512107001,818,TOG
74476512107004,7121,PM
74476512107004,818,TOG
74476512107005,7121,PM
74476512107005,818,TOG
74476512107006,7121,PM
74476512107006,818,TOG
74476512107007,7121,PM
74476512107007,818,TOG
74476512107008,7121,PM
74476512107008,818,TOG
74476512107009,7121,PM
74476512107009,818,TOG
74476512107010,7121,PM
74476512107010,818,TOG
74476512107011,7121,PM
74476512107011,818,TOG
74476512107012,7121,PM
74476512107012,818,TOG
74476602480000,472,PM
74476602480000,600,TOG
74476602487000,472,PM
74476602487000,600,TOG
74476602487001,472,PM
74476602487001,600,TOG
74476602487004,472,PM
74476602487004,600,TOG
74476602487005,472,PM
74476602487005,600,TOG
74476602487006,472,PM
74476602487006,600,TOG
74476602487007,472,PM
74476602487007,600,TOG
74476602487008,472,PM
74476602487008,600,TOG
74476602487009,472,PM
74476602487009,600,TOG
74476602487010,472,PM
74476602487010,600,TOG
74476602487011,472,PM
74476602487011,600,TOG
74476602487012,472,PM
74476602487012,600,TOG
74476854100000,473,PM
74476854100000,600,TOG
74476854107000,473,PM
74476854107000,600,TOG
74476854107001,473,PM
74476854107001,600,TOG
74476854107004,473,PM
74476854107004,600,TOG
74476854107005,473,PM
74476854107005,600,TOG
74476854107006,473,PM
74476854107006,600,TOG
74476854107007,473,PM
74476854107007,600,TOG
74476854107008,473,PM
74476854107008,600,TOG
74476854107009,473,PM
74476854107009,600,TOG
74476854107010,473,PM
74476854107010,600,TOG
74476854107011,473,PM
74476854107011,600,TOG
74476854107012,473,PM
74476854107012,600,TOG
74676112100000,425,PM
74676112100000,818,TOG
74676112107013,425,PM
74676112107013,818,TOG
74676112107016,425,PM
74676112107016,818,TOG
74676112107017,425,PM
74676112107017,818,TOG
74676112107018,425,PM
74676112107018,818,TOG
74676112107019,425,PM
74676112107019,818,TOG
74676112107020,425,PM
74676112107020,818,TOG
74676112107021,425,PM
74676112107021,818,TOG
74676112107024,425,PM
74676112107024,818,TOG
74676112107025,425,PM
74676112107025,818,TOG
74676112107026,425,PM
74676112107026,818,TOG
74676112107027,425,PM
74676112107027,818,TOG
74676112107028,425,PM
74676112107028,818,TOG
74676112107029,425,PM
74676112107029,818,TOG
74676112107030,425,PM
74676112107030,818,TOG
74676112107031,425,PM
74676112107031,818,TOG
74676412100000,425,PM
74676412100000,818,TOG
74676412107013,7122,PM
74676412107013,818,TOG
74676412107016,7122,PM
74676412107016,818,TOG
74676412107017,7122,PM
74676412107017,818,TOG
74676412107018,7122,PM
74676412107018,818,TOG
74676412107019,7122,PM
74676412107019,818,TOG
74676412107020,7122,PM
74676412107020,818,TOG
74676412107021,7122,PM
74676412107021,818,TOG
74676412107024,7122,PM
74676412107024,818,TOG
74676412107025,7123,PM
74676412107025,818,TOG
74676412107026,7123,PM
74676412107026,818,TOG
74676412107027,7123,PM
74676412107027,818,TOG
74676412107028,7123,PM
74676412107028,818,TOG
74676412107029,7122,PM
74676412107029,818,TOG
74676412107030,7122,PM
74676412107030,818,TOG
74676412107031,7123,PM
74676412107031,818,TOG
74676412107032,7122,PM
74676412107032,818,TOG
74676512100000,425,PM
74676512100000,818,TOG
74676512107013,7121,PM
74676512107013,818,TOG
74676512107016,7121,PM
74676512107016,818,TOG
74676512107017,7121,PM
74676512107017,818,TOG
74676512107018,7121,PM
74676512107018,818,TOG
74676512107019,7121,PM
74676512107019,818,TOG
74676512107020,7121,PM
74676512107020,818,TOG
74676512107021,7121,PM
74676512107021,818,TOG
74676512107024,7121,PM
74676512107024,818,TOG
74676512107025,7121,PM
74676512107025,818,TOG
74676512107026,7121,PM
74676512107026,818,TOG
74676512107027,7121,PM
74676512107027,818,TOG
74676512107028,7121,PM
74676512107028,818,TOG
74676512107029,7121,PM
74676512107029,818,TOG
74676512107030,7121,PM
74676512107030,818,TOG
74676512107031,7121,PM
74676512107031,818,TOG
74676602480000,472,PM
74676602480000,600,TOG
74676602487013,472,PM
74676602487013,600,TOG
74676602487016,472,PM
74676602487016,600,TOG
74676602487017,472,PM
74676602487017,600,TOG
74676602487018,472,PM
74676602487018,600,TOG
74676602487019,472,PM
74676602487019,600,TOG
74676602487020,472,PM
74676602487020,600,TOG
74676602487021,472,PM
74676602487021,600,TOG
74676602487024,472,PM
74676602487024,600,TOG
74676602487025,472,PM
74676602487025,600,TOG
74676602487026,472,PM
74676602487026,600,TOG
74676602487027,472,PM
74676602487027,600,TOG
74676602487028,472,PM
74676602487028,600,TOG
74676602487029,472,PM
74676602487029,600,TOG
74676602487030,472,PM
74676602487030,600,TOG
74676602487031,472,PM
74676602487031,600,TOG
74676854100000,473,PM
74676854100000,600,TOG
